#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.5933E-03 8.1103E-04  -1.26   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=13.000 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.108493  3.5278  5.2748 -2.7374 20.8533 20.7514 17.0531 16.2436 15.0928 14.5251 13.1487 12.6218 12.4321 12.0220 11.0081 10.9664 10.5040
  15  0.123530  3.5345  5.2237 -2.6033 20.4628 20.1716 16.5798 15.7543 14.5957 14.0616 12.7241 12.1987 12.0090 11.6102 10.6649 10.6248 10.1773
  16  0.137932  3.5405  5.1812 -2.4888 20.1175 19.6623 16.1710 15.3355 14.1751 13.6669 12.3634 11.8398 11.6503 11.2603 10.3717 10.3331  9.8984
  17  0.151047  3.5459  5.1485 -2.3954 19.8255 19.2390 15.8330 14.9912 13.8316 13.3429 12.0673 11.5458 11.3565 10.9736 10.1317 10.0943  9.6706
  18  0.163476  3.5507  5.1222 -2.3158 19.5687 18.8781 15.5467 14.7008 13.5433 13.0690 11.8163 11.2968 11.1080 10.7309  9.9276  9.8913  9.4771
  19  0.175926  3.5549  5.0992 -2.2440 19.3314 18.5528 15.2902 14.4421 13.2882 12.8252 11.5923 11.0750 10.8866 10.5143  9.7435  9.7081  9.3023
  20  0.188617  3.5586  5.0780 -2.1776 19.1093 18.2557 15.0565 14.2078 13.0586 12.6047 11.3891 10.8740 10.6862 10.3178  9.5738  9.5392  9.1403
  21  0.202395  3.5621  5.0579 -2.1128 18.8919 17.9719 14.8317 13.9831 12.8393 12.3932 11.1936 10.6808 10.4937 10.1288  9.4088  9.3749  8.9825
  22  0.215980  3.5652  5.0402 -2.0544 18.6951 17.7193 14.6302 13.7821 12.6441 12.2042 11.0188 10.5083 10.3218  9.9600  9.2602  9.2268  8.8401
  23  0.229900  3.5681  5.0240 -1.9993 18.5086 17.4836 14.4411 13.5939 12.4622 12.0277 10.8557 10.3476 10.1617  9.8028  9.1203  9.0875  8.7057
  24  0.241961  3.5703  5.0111 -1.9550 18.3628 17.3021 14.2908 13.4439 12.3173 11.8867 10.7251 10.2192 10.0340  9.6774  9.0078  8.9753  8.5976
  25  0.251379  3.5719  5.0016 -1.9223 18.2558 17.1714 14.1801 13.3336 12.2107 11.7828 10.6290 10.1249  9.9402  9.5853  8.9248  8.8926  8.5179
  26  0.258290  3.5731  4.9951 -1.8994 18.1802 17.0796 14.1026 13.2562 12.1361 11.7101 10.5616 10.0589  9.8745  9.5209  8.8667  8.8347  8.4619
  27  0.263494  3.5739  4.9908 -1.8830 18.1263 17.0141 14.0473 13.2010 12.0830 11.6582 10.5136 10.0118  9.8275  9.4748  8.8251  8.7933  8.4220
  28  0.267500  3.5746  4.9879 -1.8710 18.0862 16.9651 14.0063 13.1602 12.0437 11.6198 10.4780  9.9769  9.7929  9.4409  8.7946  8.7629  8.3928
  29  0.270586  3.5751  4.9855 -1.8616 18.0550 16.9268 13.9743 13.1283 12.0130 11.5898 10.4503  9.9497  9.7658  9.4143  8.7709  8.7393  8.3701
  30  0.273139  3.5755  4.9836 -1.8538 18.0287 16.8943 13.9474 13.1013 11.9871 11.5644 10.4269  9.9268  9.7430  9.3920  8.7510  8.7194  8.3511
  31  0.275503  3.5760  4.9821 -1.8469 18.0050 16.8644 13.9227 13.0768 11.9635 11.5414 10.4057  9.9060  9.7224  9.3718  8.7332  8.7018  8.3343
  32  0.277751  3.5764  4.9803 -1.8398 17.9808 16.8342 13.8979 13.0519 11.9397 11.5181 10.3842  9.8849  9.7014  9.3514  8.7153  8.6838  8.3171
  33  0.280131  3.5768  4.9784 -1.8323 17.9553 16.8024 13.8717 13.0258 11.9146 11.4936 10.3617  9.8630  9.6795  9.3299  8.6964  8.6650  8.2990
  34  0.282673  3.5773  4.9761 -1.8243 17.9283 16.7690 13.8439 12.9982 11.8881 11.4676 10.3377  9.8394  9.6561  9.3071  8.6759  8.6447  8.2796
  35  0.285409  3.5777  4.9733 -1.8154 17.8993 16.7336 13.8143 12.9686 11.8596 11.4397 10.3118  9.8140  9.6308  9.2822  8.6537  8.6225  8.2582
  36  0.288365  3.5782  4.9700 -1.8059 17.8689 16.6967 13.7829 12.9373 11.8293 11.4100 10.2840  9.7866  9.6036  9.2555  8.6295  8.5984  8.2349
  37  0.288963  3.5780  4.9691 -1.8045 17.8622 16.6901 13.7790 12.9344 11.8290 11.4094 10.2838  9.7863  9.6034  9.2545  8.6269  8.5955  8.2314
  38  0.292692  3.5783  4.9645 -1.7928 17.8285 16.6502 13.7439 12.8993 11.7950 11.3759 10.2521  9.7548  9.5720  9.2233  8.5976  8.5664  8.2027
  39  0.314097  3.5832  4.9382 -1.7179 17.6044 16.3496 13.4949 12.6484 11.5465 11.1298 10.0214  9.5267  9.3448  9.0008  8.4074  8.3769  8.0233
  40  0.335008  3.5879  4.9111 -1.6440 17.3568 16.0297 13.2371 12.3920 11.3019 10.8880  9.7982  9.3085  9.1279  8.7890  8.2206  8.1909  7.8461
  41  0.361791  3.5954  4.8728 -1.5414 16.9451 15.5332 12.8389 12.0003 10.9462 10.5401  9.4877  9.0105  8.8334  8.5030  7.9609  7.9324  7.5988
  42  0.374416  3.5998  4.8528 -1.4892 16.7438 15.2802 12.6350 11.7987 10.7614 10.3586  9.3256  8.8552  8.6799  8.3545  7.8285  7.8005  7.4739
  43  0.385163  3.6039  4.8355 -1.4429 16.5645 15.0526 12.4509 11.6164 10.5947 10.1950  9.1802  8.7165  8.5429  8.2224  7.7110  7.6836  7.3637
  44  0.394774  3.6081  4.8201 -1.4001 16.3970 14.8403 12.2775 11.4445 10.4380 10.0414  9.0451  8.5884  8.4165  8.1009  7.6027  7.5759  7.2622
  45  0.403581  3.6122  4.8061 -1.3599 16.2363 14.6408 12.1106 11.2788 10.2871  9.8945  8.9169  8.4679  8.2977  7.9873  7.5007  7.4744  7.1668
  46  0.411847  3.6165  4.7934 -1.3213 16.0802 14.4500 11.9474 11.1162 10.1394  9.7512  8.7932  8.3523  8.1842  7.8791  7.4031  7.3774  7.0757
  47  0.420018  3.6212  4.7816 -1.2823 15.9165 14.2508 11.7754 10.9435  9.9840  9.6013  8.6653  8.2340  8.0681  7.7691  7.3044  7.2794  6.9841
  48  0.427840  3.6261  4.7710 -1.2441 15.7519 14.0512 11.6000 10.7669  9.8266  9.4499  8.5375  8.1169  7.9534  7.6613  7.2077  7.1836  6.8951
  49  0.435600  3.6312  4.7613 -1.2058 15.5841 13.8481 11.4175 10.5832  9.6651  9.2950  8.4076  7.9986  7.8377  7.5530  7.1112  7.0878  6.8067
  50  0.443163  3.6366  4.7526 -1.1683 15.4199 13.6531 11.2320 10.3963  9.5024  9.1393  8.2777  7.8806  7.7228  7.4461  7.0164  6.9940  6.7204
  51  0.450565  3.6421  4.7448 -1.1310 15.2554 13.4570 11.0397 10.2045  9.3389  8.9832  8.1481  7.7636  7.6087  7.3402  6.9232  6.9015  6.6358
  52  0.455409  3.6458  4.7398 -1.1067 15.1357 13.3165 10.9108 10.0757  9.2319  8.8810  8.0632  7.6869  7.5341  7.2710  6.8621  6.8409  6.5803
