#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.6706E-03 8.5034E-04  -1.24   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=11.000 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.120708  3.5324  5.2335 -2.6315 20.5498 20.3164 16.6868 15.8659 14.7079 14.1696 12.8251 12.3003 12.1107 11.7084 10.7385 10.6979 10.2442
  15  0.136863  3.5388  5.1855 -2.5032 20.1686 19.7596 16.2343 15.4014 14.2401 13.7305 12.4225 11.8995 11.7101 11.3176 10.4100 10.3710  9.9313
  16  0.151954  3.5449  5.1488 -2.3973 19.8411 19.2869 15.8538 15.0130 13.8519 13.3640 12.0871 11.5664 11.3771 10.9928 10.1379 10.1003  9.6730
  17  0.165906  3.5502  5.1206 -2.3101 19.5616 18.8947 15.5404 14.6947 13.5354 13.0631 11.8110 11.2925 11.1037 10.7259  9.9138  9.8774  9.4607
  18  0.179238  3.5546  5.0970 -2.2351 19.3154 18.5578 15.2733 14.4250 13.2692 12.8085 11.5768 11.0605 10.8722 10.4994  9.7215  9.6860  9.2782
  19  0.192351  3.5583  5.0759 -2.1682 19.0939 18.2627 15.0391 14.1900 13.0386 12.5868 11.3723 10.8581 10.6704 10.3016  9.5507  9.5159  9.1152
  20  0.206171  3.5617  5.0563 -2.1048 18.8833 17.9884 14.8199 13.9706 12.8239 12.3796 11.1806 10.6685 10.4813 10.1161  9.3890  9.3550  8.9607
  21  0.219375  3.5647  5.0393 -2.0488 18.6964 17.7487 14.6274 13.7782 12.6366 12.1983 11.0126 10.5027 10.3162  9.9539  9.2465  9.2131  8.8242
  22  0.232634  3.5674  5.0238 -1.9968 18.5222 17.5288 14.4496 13.6010 12.4649 12.0317 10.8582 10.3507 10.1647  9.8051  9.1143  9.0813  8.6974
  23  0.243726  3.5694  5.0116 -1.9560 18.3894 17.3633 14.3115 13.4631 12.3312 11.9016 10.7378 10.2321 10.0467  9.6892  9.0106  8.9780  8.5977
  24  0.252411  3.5709  5.0025 -1.9254 18.2909 17.2429 14.2090 13.3607 12.2319 11.8048 10.6479 10.1439  9.9589  9.6031  8.9331  8.9008  8.5233
  25  0.258836  3.5720  4.9960 -1.9037 18.2206 17.1571 14.1360 13.2878 12.1614 11.7359 10.5841 10.0812  9.8965  9.5419  8.8779  8.8458  8.4702
  26  0.263787  3.5728  4.9914 -1.8877 18.1687 17.0942 14.0825 13.2343 12.1096 11.6853 10.5371 10.0351  9.8506  9.4967  8.8373  8.8053  8.4312
  27  0.267627  3.5734  4.9880 -1.8755 18.1291 17.0460 14.0418 13.1936 12.0704 11.6470 10.5015 10.0001  9.8157  9.4626  8.8065  8.7746  8.4016
  28  0.270758  3.5739  4.9857 -1.8661 18.0980 17.0076 14.0097 13.1616 12.0393 11.6166 10.4734  9.9725  9.7883  9.4356  8.7825  8.7508  8.3786
  29  0.273370  3.5743  4.9836 -1.8580 18.0715 16.9748 13.9822 13.1340 12.0128 11.5906 10.4492  9.9488  9.7647  9.4126  8.7620  8.7303  8.3591
  30  0.275808  3.5748  4.9816 -1.8506 18.0469 16.9440 13.9565 13.1084 11.9880 11.5663 10.4268  9.9267  9.7427  9.3910  8.7430  8.7114  8.3409
  31  0.278373  3.5752  4.9801 -1.8431 18.0220 16.9126 13.9306 13.0824 11.9629 11.5417 10.4040  9.9044  9.7206  9.3694  8.7240  8.6925  8.3229
  32  0.281051  3.5757  4.9780 -1.8349 17.9949 16.8787 13.9024 13.0543 11.9357 11.5151 10.3794  9.8802  9.6965  9.3458  8.7032  8.6717  8.3031
  33  0.284080  3.5763  4.9755 -1.8257 17.9649 16.8413 13.8712 13.0231 11.9057 11.4857 10.3521  9.8534  9.6698  9.3197  8.6800  8.6486  8.2809
  34  0.287477  3.5768  4.9725 -1.8154 17.9313 16.8001 13.8366 12.9886 11.8723 11.4529 10.3217  9.8235  9.6401  9.2904  8.6538  8.6225  8.2558
  35  0.288110  3.5766  4.9720 -1.8141 17.9239 16.7922 13.8323 12.9852 11.8720 11.4524 10.3216  9.8233  9.6400  9.2897  8.6515  8.6200  8.2527
  36  0.292011  3.5770  4.9677 -1.8021 17.8869 16.7481 13.7943 12.9475 11.8359 11.4170 10.2885  9.7906  9.6075  9.2574  8.6215  8.5901  8.2233
  37  0.321829  3.5842  4.9319 -1.6975 17.5691 16.3181 13.4415 12.5923 11.4852 11.0696  9.9637  9.4698  9.2880  8.9451  8.3558  8.3256  7.9737
  38  0.341200  3.5886  4.9067 -1.6291 17.3336 16.0152 13.1987 12.3515 11.2575 10.8446  9.7572  9.2684  9.0881  8.7499  8.1826  8.1531  7.8091
  39  0.368553  3.5963  4.8678 -1.5245 16.9147 15.5086 12.7917 11.9508 10.8936 10.4887  9.4397  8.9640  8.7871  8.4578  7.9179  7.8894  7.5572
