#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 1.2993E-03 6.6136E-04  -1.35   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=12.800 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.108021  3.5302  5.2789 -2.7338 20.8346 20.6801 17.0259 16.2088 15.0603 14.4785 13.0936 12.5621 12.3723 11.9669 10.9930 10.9519 10.5019
  15  0.122092  3.5377  5.2313 -2.6027 20.4413 20.0616 16.5410 15.7081 14.5525 14.0086 12.6680 12.1380 11.9482 11.5549 10.6573 10.6179 10.1844
  16  0.135583  3.5444  5.1909 -2.4901 20.0893 19.5189 16.1220 15.2804 14.1250 13.6100 12.3075 11.7797 11.5900 11.2057 10.3692 10.3313  9.9114
  17  0.148006  3.5501  5.1589 -2.3976 19.7894 19.0722 15.7777 14.9317 13.7797 13.2856 12.0137 11.4883 11.2989 10.9214 10.1321 10.0955  9.6865
  18  0.159845  3.5548  5.1326 -2.3191 19.5248 18.6969 15.4907 14.6430 13.4960 13.0166 11.7687 11.2457 11.0569 10.6845  9.9316  9.8959  9.4957
  19  0.171964  3.5590  5.1091 -2.2471 19.2771 18.3561 15.2310 14.3831 13.2424 12.7746 11.5475 11.0272 10.8390 10.4709  9.7479  9.7130  9.3205
  20  0.184682  3.5628  5.0870 -2.1789 19.0398 18.0388 14.9887 14.1421 13.0088 12.5505 11.3421 10.8244 10.6371 10.2725  9.5745  9.5403  9.1542
  21  0.198364  3.5663  5.0662 -2.1131 18.8090 17.7382 14.7574 13.9125 12.7874 12.3370 11.1460 10.6311 10.4446 10.0834  9.4073  9.3738  8.9936
  22  0.212103  3.5694  5.0476 -2.0528 18.5967 17.4671 14.5470 13.7041 12.5874 12.1436 10.9679 10.4560 10.2703  9.9120  9.2543  9.2215  8.8465
  23  0.226868  3.5724  5.0301 -1.9940 18.3894 17.2071 14.3427 13.5020 12.3943 11.9564 10.7957 10.2870 10.1021  9.7467  9.1053  9.0728  8.7028
