#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 2.4146E-03 1.2291E-03  -1.09   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=11.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.122943  3.5275  5.2214 -2.6306 20.5719 20.4569 16.7281 15.9199 14.7597 14.2440 12.9126 12.3949 12.2060 11.7931 10.7478 10.7058 10.2284
  15  0.140903  3.5326  5.1687 -2.4985 20.2014 19.9670 16.2968 15.4755 14.3097 13.8166 12.5135 11.9974 11.8087 11.4045 10.4097 10.3690  9.9033
  16  0.157454  3.5378  5.1302 -2.3909 19.8902 19.5462 15.9322 15.1001 13.9306 13.4557 12.1782 11.6637 11.4753 11.0793 10.1328 10.0935  9.6396
  17  0.172556  3.5430  5.1020 -2.3024 19.6263 19.1863 15.6238 14.7829 13.6104 13.1500 11.8948 11.3821 11.1939 10.8054  9.9038  9.8658  9.4234
  18  0.186485  3.5475  5.0794 -2.2281 19.4013 18.8813 15.3651 14.5180 13.3442 12.8948 11.6581 11.1471 10.9592 10.5766  9.7121  9.6752  9.2426
  19  0.199670  3.5512  5.0597 -2.1641 19.2064 18.6222 15.1455 14.2945 13.1206 12.6796 11.4578 10.9483 10.7607 10.3827  9.5474  9.5112  9.0864
  20  0.213701  3.5546  5.0414 -2.1026 19.0192 18.3773 14.9374 14.0833 12.9098 12.4759 11.2679 10.7596 10.5725 10.1984  9.3896  9.3543  8.9367
  21  0.226728  3.5575  5.0257 -2.0495 18.8571 18.1668 14.7588 13.9025 12.7299 12.3015 11.1050 10.5982 10.4113 10.0405  9.2537  9.2191  8.8075
  22  0.238543  3.5599  5.0123 -2.0041 18.7175 17.9875 14.6066 13.7489 12.5777 12.1536 10.9669 10.4615 10.2749  9.9067  9.1376  9.1034  8.6968
  23  0.248009  3.5617  5.0019 -1.9692 18.6122 17.8532 14.4911 13.6323 12.4620 12.0409 10.8615 10.3572 10.1709  9.8047  9.0486  9.0148  8.6120
