#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 2.4146E-03 1.2291E-03  -1.09   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=11.400 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.121473  3.5270  5.2261 -2.6421 20.6036 20.4985 16.7650 15.9580 14.7984 14.2807 12.9469 12.4292 12.2402 11.8266 10.7771 10.7349 10.2567
  15  0.139345  3.5322  5.1726 -2.5090 20.2312 20.0067 16.3315 15.5112 14.3458 13.8509 12.5456 12.0293 11.8406 11.4356 10.4366 10.3957  9.9290
  16  0.155827  3.5373  5.1333 -2.4006 19.9186 19.5849 15.9656 15.1345 13.9655 13.4889 12.2089 11.6943 11.5059 11.1091 10.1578 10.1184  9.6633
  17  0.170903  3.5425  5.1045 -2.3111 19.6528 19.2224 15.6545 14.8144 13.6423 13.1805 11.9231 11.4102 11.2220 10.8327  9.9265  9.8883  9.4447
  18  0.184852  3.5470  5.0815 -2.2360 19.4252 18.9136 15.3924 14.5459 13.3721 12.9217 11.6830 11.1718 10.9839 10.6007  9.7324  9.6953  9.2617
  19  0.197941  3.5507  5.0617 -2.1716 19.2292 18.6523 15.1710 14.3204 13.1465 12.7046 11.4811 10.9714 10.7838 10.4052  9.5666  9.5303  9.1047
  20  0.211964  3.5541  5.0431 -2.1094 19.0401 18.4046 14.9605 14.1067 12.9331 12.4984 11.2890 10.7805 10.5934 10.2189  9.4071  9.3717  8.9533
  21  0.225156  3.5572  5.0272 -2.0552 18.8748 18.1899 14.7783 13.9222 12.7494 12.3204 11.1227 10.6157 10.4288 10.0576  9.2684  9.2338  8.8215
  22  0.237214  3.5596  5.0134 -2.0086 18.7314 18.0055 14.6219 13.7644 12.5930 12.1685 10.9808 10.4752 10.2886  9.9202  9.1493  9.1150  8.7079
  23  0.247004  3.5616  5.0026 -1.9725 18.6220 17.8657 14.5018 13.6432 12.4727 12.0514 10.8714 10.3669 10.1806  9.8142  9.0569  9.0231  8.6199
