#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 4.8102E-03 2.4485E-03  -0.78   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=14.600 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.121020  3.5196  5.2171 -2.6641 20.6865 20.6898 16.8634 16.0789 14.9328 14.4697 13.1803 12.6670 12.4842 12.0382 10.8622 10.8152 10.2910
  16  0.139093  3.5218  5.1601 -2.5377 20.3561 20.3144 16.4990 15.7056 14.5548 14.1053 12.8318 12.3190 12.1369 11.6947 10.5423 10.4960  9.9771
  17  0.155205  3.5245  5.1190 -2.4385 20.0930 20.0038 16.2021 15.4000 14.2445 13.8062 12.5472 12.0354 11.8537 11.4160 10.2893 10.2438  9.7313
  18  0.170531  3.5278  5.0882 -2.3532 19.8613 19.7167 15.9327 15.1212 13.9598 13.5320 12.2884 11.7780 11.5967 11.1650 10.0692 10.0248  9.5207
  19  0.185253  3.5315  5.0638 -2.2780 19.6538 19.4513 15.6870 14.8668 13.6997 13.2815 12.0530 11.5442 11.3631 10.9377  9.8738  9.8308  9.3357
  20  0.199154  3.5350  5.0434 -2.2127 19.4730 19.2187 15.4730 14.6456 13.4735 13.0634 11.8480 11.3407 11.1597 10.7396  9.7042  9.6622  9.1753
  21  0.213160  3.5380  5.0250 -2.1529 19.3079 19.0081 15.2788 14.4456 13.2690 12.8654 11.6615 11.1556 10.9747 10.5594  9.5489  9.5078  9.0281
  22  0.227220  3.5409  5.0087 -2.0973 19.1545 18.8119 15.0987 14.2604 13.0796 12.6817 11.4882 10.9838 10.8031 10.3920  9.4050  9.3648  8.8919
  23  0.239230  3.5432  4.9956 -2.0523 19.0309 18.6535 14.9537 14.1116 12.9273 12.5337 11.3485 10.8452 10.6646 10.2568  9.2890  9.2494  8.7820
  24  0.248420  3.5450  4.9859 -2.0192 18.9404 18.5373 14.8472 14.0023 12.8152 12.4246 11.2454 10.7428 10.5623 10.1570  9.2033  9.1641  8.7010
