#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 4.8102E-03 2.4485E-03  -0.78   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=12.800 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.113552  3.5188  5.2446 -2.7228 20.8396 20.8623 17.0312 16.2507 15.1068 14.6372 13.3407 12.8271 12.6441 12.1964 11.0105 10.9631 10.4369
  15  0.133198  3.5210  5.1789 -2.5787 20.4639 20.4384 16.6189 15.8287 14.6797 14.2255 12.9465 12.4335 12.2511 11.8074 10.6464 10.5998 10.0790
  16  0.151625  3.5237  5.1295 -2.4622 20.1565 20.0805 16.2748 15.4752 14.3210 13.8796 12.6168 12.1047 11.9229 11.4839 10.3500 10.3042  9.7900
  17  0.168533  3.5273  5.0949 -2.3673 19.8996 19.7648 15.9777 15.1679 14.0075 13.5777 12.3314 11.8207 11.6392 11.2066 10.1054 10.0609  9.5554
  18  0.184162  3.5312  5.0688 -2.2872 19.6788 19.4830 15.7166 14.8972 13.7306 13.3112 12.0808 11.5719 11.3907 10.9647  9.8973  9.8541  9.3581
  19  0.198322  3.5346  5.0479 -2.2203 19.4937 19.2447 15.4971 14.6704 13.4987 13.0875 11.8705 11.3632 11.1821 10.7616  9.7235  9.6814  9.1939
  20  0.212434  3.5376  5.0291 -2.1596 19.3263 19.0311 15.3002 14.4673 13.2913 12.8868 11.6815 11.1756 10.9947 10.5788  9.5661  9.5249  9.0446
  21  0.226307  3.5406  5.0128 -2.1043 19.1735 18.8356 15.1207 14.2829 13.1026 12.7039 11.5091 11.0045 10.8237 10.4123  9.4229  9.3826  8.9091
  22  0.238386  3.5429  4.9994 -2.0587 19.0480 18.6748 14.9736 14.1318 12.9481 12.5537 11.3674 10.8639 10.6833 10.2753  9.3051  9.2655  8.7976
  23  0.247608  3.5448  4.9892 -2.0249 18.9559 18.5565 14.8652 14.0206 12.8340 12.4427 11.2625 10.7599 10.5793 10.1738  9.2179  9.1788  8.7151
  24  0.254419  3.5461  4.9817 -2.0005 18.8898 18.4717 14.7877 13.9411 12.7524 12.3630 11.1870 10.6848 10.5043 10.1006  9.1550  9.1162  8.6555
  25  0.259543  3.5470  4.9764 -1.9827 18.8420 18.4106 14.7319 13.8840 12.6936 12.3055 11.1324 10.6305 10.4501 10.0474  9.1094  9.0708  8.6123
  26  0.263534  3.5477  4.9723 -1.9692 18.8055 18.3639 14.6897 13.8408 12.6491 12.2620 11.0910 10.5893 10.4089 10.0073  9.0748  9.0365  8.5796
  27  0.266548  3.5483  4.9694 -1.9590 18.7776 18.3280 14.6574 13.8077 12.6153 12.2288 11.0594 10.5580 10.3776  9.9767  9.0485  9.0104  8.5548
  28  0.268987  3.5487  4.9673 -1.9510 18.7554 18.2988 14.6315 13.7813 12.5882 12.2022 11.0342 10.5330 10.3526  9.9524  9.0280  8.9899  8.5354
  29  0.271083  3.5492  4.9653 -1.9439 18.7355 18.2728 14.6085 13.7577 12.5640 12.1785 11.0118 10.5107 10.3304  9.9307  9.0096  8.9716  8.5182
  30  0.273163  3.5496  4.9636 -1.9371 18.7164 18.2476 14.5862 13.7349 12.5407 12.1556 10.9901 10.4893 10.3090  9.9099  8.9920  8.9541  8.5017
  31  0.275419  3.5500  4.9619 -1.9299 18.6960 18.2208 14.5626 13.7108 12.5159 12.1313 10.9672 10.4665 10.2862  9.8878  8.9734  8.9357  8.4843
