#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 4.8102E-03 2.4485E-03  -0.78   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=13.200 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.110914  3.5184  5.2542 -2.7438 20.8943 20.9238 17.0911 16.3120 15.1688 14.6969 13.3979 12.8842 12.7011 12.2529 11.0635 11.0160 10.4891
  15  0.130268  3.5206  5.1876 -2.5985 20.5155 20.4970 16.6757 15.8869 14.7385 14.2823 13.0008 12.4878 12.3053 11.8610 10.6963 10.6497 10.1280
  16  0.148620  3.5233  5.1363 -2.4796 20.2027 20.1356 16.3273 15.5292 14.3759 13.9326 12.6671 12.1548 11.9729 11.5331 10.3944 10.3486  9.8331
  17  0.165325  3.5266  5.1002 -2.3839 19.9449 19.8217 16.0308 15.2229 14.0637 13.6318 12.3824 11.8715 11.6899 11.2560 10.1483 10.1036  9.5963
  18  0.180979  3.5304  5.0730 -2.3020 19.7202 19.5363 15.7657 14.9482 13.7828 13.3614 12.1280 11.6188 11.4375 11.0102  9.9362  9.8927  9.3948
  19  0.195295  3.5339  5.0515 -2.2332 19.5294 19.2907 15.5394 14.7141 13.5435 13.1307 11.9112 11.4036 11.2225 10.8009  9.7572  9.7148  9.2256
  20  0.209263  3.5370  5.0323 -2.1719 19.3603 19.0747 15.3402 14.5087 13.3335 12.9277 11.7201 11.2138 11.0329 10.6161  9.5981  9.5567  9.0748
  21  0.223355  3.5400  5.0154 -2.1149 19.2029 18.8734 15.1553 14.3184 13.1390 12.7392 11.5424 11.0376 10.8567 10.4444  9.4504  9.4100  8.9351
  22  0.235987  3.5425  5.0013 -2.0669 19.0704 18.7036 14.9999 14.1589 12.9757 12.5807 11.3928 10.8892 10.7086 10.2999  9.3261  9.2864  8.8174
  23  0.245865  3.5444  4.9905 -2.0305 18.9712 18.5764 14.8834 14.0392 12.8531 12.4614 11.2802 10.7774 10.5968 10.1909  9.2325  9.1933  8.7288
  24  0.253163  3.5459  4.9825 -2.0043 18.9002 18.4851 14.7998 13.9536 12.7653 12.3756 11.1990 10.6967 10.5162 10.1122  9.1649  9.1260  8.6649
  25  0.258602  3.5468  4.9769 -1.9854 18.8493 18.4200 14.7404 13.8927 12.7026 12.3143 11.1407 10.6388 10.4583 10.0556  9.1163  9.0777  8.6189
  26  0.262833  3.5476  4.9727 -1.9712 18.8108 18.3706 14.6957 13.8470 12.6555 12.2682 11.0969 10.5952 10.4148 10.0131  9.0797  9.0414  8.5843
  27  0.266027  3.5482  4.9696 -1.9604 18.7814 18.3329 14.6618 13.8122 12.6198 12.2333 11.0637 10.5623 10.3819  9.9809  9.0521  9.0139  8.5582
  28  0.268559  3.5487  4.9675 -1.9521 18.7585 18.3028 14.6351 13.7849 12.5918 12.2058 11.0376 10.5364 10.3561  9.9556  9.0308  8.9927  8.5381
  29  0.270686  3.5492  4.9655 -1.9449 18.7383 18.2764 14.6117 13.7609 12.5673 12.1817 11.0149 10.5138 10.3335  9.9337  9.0122  8.9742  8.5206
  30  0.272745  3.5496  4.9638 -1.9382 18.7193 18.2514 14.5896 13.7383 12.5442 12.1590 10.9934 10.4925 10.3122  9.9130  8.9947  8.9568  8.5042
  31  0.274934  3.5500  4.9621 -1.9312 18.6994 18.2250 14.5664 13.7146 12.5199 12.1351 10.9709 10.4702 10.2899  9.8914  8.9765  8.9388  8.4873
