#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 4.8102E-03 2.4485E-03  -0.78   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=13.000 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.112188  3.5186  5.2495 -2.7335 20.8675 20.8936 17.0617 16.2819 15.1384 14.6676 13.3698 12.8562 12.6731 12.2252 11.0375 10.9901 10.4635
  15  0.131690  3.5208  5.1833 -2.5887 20.4901 20.4682 16.6478 15.8583 14.7096 14.2544 12.9741 12.4611 12.2787 11.8346 10.6717 10.6251 10.1038
  16  0.150072  3.5235  5.1329 -2.4710 20.1801 20.1088 16.3017 15.5029 14.3492 13.9068 12.6426 12.1304 11.9485 11.5091 10.3726 10.3268  9.8119
  17  0.166885  3.5269  5.0975 -2.3757 19.9226 19.7939 16.0048 15.1959 14.0362 13.6053 12.3574 11.8466 11.6651 11.2318 10.1272 10.0825  9.5761
  18  0.182546  3.5308  5.0708 -2.2946 19.6996 19.5098 15.7413 14.9228 13.7568 13.3364 12.1045 11.5954 11.4142 10.9875  9.9168  9.8735  9.3765
  19  0.196755  3.5342  5.0497 -2.2269 19.5119 19.2681 15.5186 14.6926 13.5215 13.1095 11.8912 11.3838 11.2027 10.7816  9.7407  9.6984  9.2101
  20  0.210808  3.5373  5.0307 -2.1658 19.3436 19.0533 15.3205 14.4883 13.3127 12.9076 11.7011 11.1950 11.0141 10.5977  9.5823  9.5410  9.0599
  21  0.224832  3.5403  5.0140 -2.1095 19.1881 18.8543 15.1379 14.3005 13.1206 12.7214 11.5256 11.0209 10.8401 10.4282  9.4365  9.3962  8.9219
  22  0.237210  3.5427  5.0003 -2.0627 19.0589 18.6888 14.9864 14.1450 12.9615 12.5668 11.3798 10.8762 10.6956 10.2873  9.3153  9.2757  8.8072
  23  0.246757  3.5446  4.9898 -2.0276 18.9633 18.5661 14.8740 14.0296 12.8433 12.4518 11.2711 10.7684 10.5878 10.1821  9.2250  9.1858  8.7217
  24  0.253803  3.5460  4.9821 -2.0023 18.8948 18.4782 14.7936 13.9472 12.7587 12.3691 11.1928 10.6906 10.5101 10.1062  9.1598  9.1210  8.6601
  25  0.259080  3.5469  4.9766 -1.9840 18.8456 18.4152 14.7361 13.8883 12.6980 12.3098 11.1365 10.6346 10.4541 10.0514  9.1128  9.0742  8.6155
  26  0.263189  3.5476  4.9725 -1.9702 18.8081 18.3672 14.6927 13.8438 12.6523 12.2650 11.0939 10.5922 10.4118 10.0101  9.0772  9.0389  8.5819
  27  0.266291  3.5482  4.9695 -1.9597 18.7795 18.3304 14.6596 13.8099 12.6175 12.2310 11.0615 10.5601 10.3797  9.9787  9.0503  9.0121  8.5565
  28  0.268772  3.5487  4.9674 -1.9516 18.7569 18.3008 14.6333 13.7831 12.5900 12.2040 11.0359 10.5347 10.3544  9.9540  9.0294  8.9913  8.5367
  29  0.270880  3.5492  4.9654 -1.9444 18.7369 18.2746 14.6101 13.7593 12.5657 12.1801 11.0134 10.5123 10.3320  9.9322  9.0109  8.9729  8.5194
  30  0.272947  3.5496  4.9637 -1.9377 18.7179 18.2496 14.5880 13.7367 12.5425 12.1573 10.9918 10.4910 10.3106  9.9115  8.9934  8.9555  8.5030
  31  0.275165  3.5500  4.9620 -1.9306 18.6978 18.2230 14.5646 13.7128 12.5180 12.1333 10.9692 10.4684 10.2881  9.8896  8.9750  8.9373  8.4859
  32  0.277603  3.5505  4.9601 -1.9228 18.6760 18.1945 14.5395 13.6870 12.4916 12.1074 10.9446 10.4442 10.2640  9.8662  8.9551  8.9175  8.4672
  33  0.280301  3.5511  4.9579 -1.9143 18.6519 18.1633 14.5118 13.6587 12.4626 12.0790 10.9177 10.4176 10.2373  9.8402  8.9330  8.8956  8.4465
  34  0.283275  3.5516  4.9552 -1.9048 18.6255 18.1294 14.4815 13.6278 12.4309 12.0479 10.8882 10.3883 10.2081  9.8118  8.9087  8.8714  8.4235
  35  0.286734  3.5522  4.9519 -1.8938 18.5951 18.0910 14.4471 13.5927 12.3949 12.0125 10.8546 10.3551 10.1748  9.7794  8.8806  8.8434  8.3970
  36  0.289202  3.5526  4.9491 -1.8853 18.5712 18.0607 14.4205 13.5658 12.3675 11.9854 10.8284 10.3289 10.1487  9.7538  8.8588  8.8217  8.3761
  37  0.314756  3.5583  4.9214 -1.7994 18.3266 17.7527 14.1426 13.2812 12.0700 11.6938 10.5513 10.0564  9.8759  9.4911  8.6356  8.6004  8.1682
  38  0.327513  3.5614  4.9062 -1.7552 18.1988 17.5868 13.9994 13.1355 11.9184 11.5439 10.4083  9.9153  9.7347  9.3550  8.5213  8.4871  8.0620
  39  0.357558  3.5692  4.8690 -1.6472 17.8749 17.1422 13.6376 12.7701 11.5519 11.1796 10.0648  9.5756  9.3957  9.0254  8.2459  8.2131  7.8051
  40  0.375964  3.5752  4.8436 -1.5757 17.6536 16.8215 13.3892 12.5203 11.3032 10.9303  9.8303  9.3446  9.1651  8.8024  8.0634  8.0318  7.6371
  41  0.387406  3.5794  4.8269 -1.5293 17.5142 16.6061 13.2285 12.3585 11.1401 10.7651  9.6732  9.1896  9.0102  8.6535  7.9446  7.9139  7.5290
  42  0.398988  3.5839  4.8098 -1.4815 17.3617 16.3763 13.0576 12.1874 10.9708 10.5938  9.5117  9.0312  8.8520  8.5018  7.8226  7.7925  7.4177
  43  0.409989  3.5885  4.7937 -1.4353 17.2106 16.1496 12.8888 12.0188 10.8055 10.4265  9.3548  8.8779  8.6989  8.3553  7.7047  7.6754  7.3108
  44  0.420197  3.5930  4.7791 -1.3918 17.0658 15.9346 12.7266 11.8569 10.6472 10.2665  9.2057  8.7330  8.5544  8.2174  7.5936  7.5651  7.2103
  45  0.429701  3.5975  4.7658 -1.3509 16.9265 15.7347 12.5706 11.7009 10.4947 10.1130  9.0638  8.5959  8.4177  8.0874  7.4884  7.4607  7.1155
  46  0.438581  3.6020  4.7535 -1.3119 16.7927 15.5469 12.4205 11.5509 10.3476  9.9655  8.9286  8.4659  8.2883  7.9647  7.3887  7.3618  7.0258
  47  0.447083  3.6065  4.7423 -1.2742 16.6617 15.3665 12.2731 11.4034 10.2031  9.8212  8.7972  8.3404  8.1634  7.8464  7.2923  7.2661  6.9391
  48  0.455524  3.6112  4.7315 -1.2366 16.5298 15.1894 12.1240 11.2540 10.0564  9.6753  8.6658  8.2154  8.0393  7.7291  7.1962  7.1707  6.8527
  49  0.464250  3.6163  4.7208 -1.1976 16.3929 15.0123 11.9688 11.0981  9.9016  9.5226  8.5301  8.0876  7.9125  7.6097  7.0970  7.0723  6.7635
  50  0.472929  3.6215  4.7110 -1.1585 16.2575 14.8457 11.8105 10.9374  9.7416  9.3654  8.3923  7.9585  7.7849  7.4899  6.9976  6.9737  6.6743
  51  0.481256  3.6271  4.7025 -1.1201 16.1191 14.6779 11.6468 10.7702  9.5783  9.2058  8.2546  7.8310  7.6590  7.3723  6.8999  6.8768  6.5871
  52  0.486184  3.6307  4.6978 -1.0970 16.0321 14.5725 11.5423 10.6633  9.4770  9.1072  8.1709  7.7541  7.5835  7.3019  6.8410  6.8184  6.5346
  53  0.491046  3.6343  4.6934 -1.0739 15.9431 14.4633 11.4332 10.5518  9.3741  9.0073  8.0868  7.6772  7.5081  7.2319  6.7824  6.7603  6.4824
  54  0.495855  3.6379  4.6894 -1.0509 15.8495 14.3451 11.3190 10.4351  9.2698  8.9061  8.0025  7.6004  7.4330  7.1621  6.7241  6.7026  6.4306
  55  0.500601  3.6416  4.6856 -1.0281 15.7491 14.2057 11.1969 10.3113  9.1653  8.8044  7.9186  7.5241  7.3587  7.0930  6.6660  6.6451  6.3789
  56  0.505295  3.6453  4.6820 -1.0054 15.6411 14.0522 11.0690 10.1823  9.0603  8.7023  7.8348  7.4483  7.2849  7.0245  6.6082  6.5877  6.3275
  57  0.509945  3.6492  4.6786 -0.9830 15.5238 13.8841 10.9350 10.0480  8.9550  8.5999  7.7514  7.3728  7.2119  6.9565  6.5507  6.5307  6.2761
  58  0.514538  3.6529  4.6752 -0.9608 15.3987 13.7023 10.7961  9.9098  8.8513  8.4989  7.6695  7.2988  7.1405  6.8899  6.4936  6.4741  6.2250
  59  0.519059  3.6567  4.6721 -0.9387 15.2620 13.5033 10.6507  9.7662  8.7478  8.3984  7.5884  7.2256  7.0701  6.8240  6.4368  6.4179  6.1740
  60  0.523516  3.6604  4.6690 -0.9170 15.1168 13.2922 10.5033  9.6226  8.6468  8.3001  7.5091  7.1539  7.0013  6.7595  6.3805  6.3620  6.1232
