#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 3.4153E-04 1.7385E-04  -1.94   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=12.200 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.117130  3.5509  5.2604 -2.5968 20.3671 19.7861 16.3603 15.4961 14.3573 13.7845 12.4485 11.9061 11.7136 11.3392 10.6125 10.5757 10.1891
  16  0.128411  3.5591  5.2243 -2.4881 20.0201 19.2206 15.9217 15.0526 13.9222 13.3889 12.1053 11.5688 11.3775 11.0102 10.3380 10.3027  9.9271
  17  0.139016  3.5656  5.1935 -2.3965 19.7220 18.7559 15.5585 14.6875 13.5698 13.0642 11.8228 11.2928 11.1031 10.7411 10.1066 10.0725  9.7054
  18  0.149234  3.5709  5.1671 -2.3183 19.4677 18.3754 15.2568 14.3853 13.2803 12.7941 11.5863 11.0628 10.8747 10.5171  9.9089  9.8756  9.5152
  19  0.160062  3.5754  5.1428 -2.2453 19.2285 18.0287 14.9813 14.1106 13.0183 12.5473 11.3690 10.8519 10.6657 10.3121  9.7241  9.6916  9.3370
  20  0.172347  3.5798  5.1188 -2.1716 18.9832 17.6785 14.7069 13.8382 12.7601 12.3025 11.1524 10.6423 10.4580 10.1087  9.5380  9.5062  9.1571
  21  0.186202  3.5841  5.0952 -2.0975 18.7332 17.3224 14.4337 13.5687 12.5052 12.0596 10.9369 10.4343 10.2522  9.9069  9.3514  9.3203  8.9765
  22  0.201206  3.5881  5.0733 -2.0257 18.4675 16.9594 14.1662 13.3070 12.2607 11.8257 10.7293 10.2343 10.0543  9.7133  9.1708  9.1403  8.8013
  23  0.219540  3.5924  5.0492 -1.9465 18.1110 16.5124 13.8620 13.0140 11.9942 11.5696 10.5016 10.0154  9.8381  9.5018  8.9719  8.9420  8.6081
  24  0.237190  3.5961  5.0308 -1.8800 17.7666 16.1041 13.5984 12.7630 11.7713 11.3550 10.3109  9.8326  9.6575  9.3255  8.8051  8.7758  8.4461
  25  0.249631  3.5984  5.0213 -1.8387 17.5404 15.8416 13.4311 12.6043 11.6323 11.2211 10.1922  9.7191  9.5456  9.2163  8.7018  8.6728  8.3460
  26  0.257034  3.5997  5.0174 -1.8171 17.4173 15.7000 13.3410 12.5190 11.5583 11.1497 10.1291  9.6589  9.4864  9.1586  8.6472  8.6185  8.2932
  27  0.262279  3.6007  5.0156 -1.8029 17.3379 15.6090 13.2820 12.4630 11.5097 11.1028 10.0879  9.6196  9.4476  9.1209  8.6116  8.5830  8.2587
  28  0.266098  3.6013  5.0138 -1.7921 17.2823 15.5457 13.2379 12.4207 11.4727 11.0671 10.0562  9.5896  9.4180  9.0920  8.5842  8.5557  8.2323
  29  0.268860  3.6019  5.0118 -1.7836 17.2379 15.4953 13.2025 12.3870 11.4433 11.0387 10.0313  9.5657  9.3945  9.0692  8.5626  8.5342  8.2115
  30  0.270985  3.6024  5.0098 -1.7763 17.2008 15.4533 13.1730 12.3587 11.4186 11.0148 10.0103  9.5457  9.3748  9.0501  8.5446  8.5162  8.1940
