#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 3.4153E-04 1.7385E-04  -1.94   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=12.600 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.115329  3.5496  5.2662 -2.6148 20.4238 19.8807 16.4333 15.5703 14.4308 13.8508 12.5061 11.9629 11.7702 11.3945 10.6578 10.6207 10.2322
  16  0.126514  3.5578  5.2297 -2.5050 20.0745 19.3077 15.9894 15.1208 13.9886 13.4496 12.1580 11.6205 11.4289 11.0605 10.3806 10.3451  9.9678
  17  0.137000  3.5644  5.1985 -2.4122 19.7737 18.8354 15.6206 14.7497 13.6295 13.1196 11.8711 11.3399 11.1498 10.7869 10.1465 10.1122  9.7436
  18  0.147011  3.5698  5.1718 -2.3335 19.5170 18.4484 15.3148 14.4433 13.3357 12.8460 11.6319 11.1071 10.9186 10.5602  9.9472  9.9138  9.5521
  19  0.157449  3.5744  5.1475 -2.2611 19.2808 18.1040 15.0407 14.1696 13.0744 12.6004 11.4158 10.8972 10.7106 10.3561  9.7640  9.7313  9.3755
  20  0.169350  3.5789  5.1235 -2.1877 19.0365 17.7556 14.7667 13.8975 12.8163 12.3559 11.1997 10.6881 10.5033 10.1530  9.5787  9.5468  9.1965
  21  0.182945  3.5832  5.0997 -2.1132 18.7880 17.3996 14.4918 13.6259 12.5591 12.1109 10.9825 10.4783 10.2957  9.9495  9.3909  9.3596  9.0147
  22  0.197918  3.5873  5.0771 -2.0399 18.5228 17.0337 14.2197 13.3591 12.3091 11.8719 10.7704 10.2738 10.0934  9.7516  9.2066  9.1759  8.8359
  23  0.215678  3.5916  5.0534 -1.9617 18.1862 16.6036 13.9215 13.0709 12.0452 11.6187 10.5453 10.0573  9.8795  9.5422  9.0101  8.9800  8.6452
  24  0.234157  3.5955  5.0331 -1.8901 17.8210 16.1679 13.6392 12.8017 11.8055 11.3879 10.3402  9.8605  9.6852  9.3524  8.8306  8.8012  8.4709
  25  0.247858  3.5981  5.0220 -1.8438 17.5688 15.8745 13.4520 12.6241 11.6496 11.2377 10.2069  9.7331  9.5595  9.2297  8.7145  8.6855  8.3583
  26  0.255886  3.5996  5.0176 -1.8199 17.4331 15.7181 13.3526 12.5301 11.5678 11.1589 10.1372  9.6667  9.4940  9.1660  8.6542  8.6255  8.3000
  27  0.261467  3.6006  5.0156 -1.8048 17.3471 15.6197 13.2893 12.4700 11.5158 11.1087 10.0932  9.6246  9.4526  9.1257  8.6162  8.5876  8.2632
  28  0.265512  3.6012  5.0137 -1.7933 17.2885 15.5529 13.2430 12.4257 11.4770 11.0713 10.0600  9.5931  9.4215  9.0954  8.5875  8.5589  8.2355
  29  0.268420  3.6018  5.0118 -1.7845 17.2425 15.5005 13.2062 12.3906 11.4464 11.0418 10.0340  9.5684  9.3972  9.0717  8.5650  8.5366  8.2138
  30  0.270631  3.6023  5.0099 -1.7771 17.2045 15.4573 13.1759 12.3616 11.4211 11.0173 10.0125  9.5478  9.3769  9.0521  8.5465  8.5182  8.1959
  31  0.272484  3.6027  5.0080 -1.7706 17.1695 15.4178 13.1482 12.3350 11.3981 10.9951  9.9931  9.5295  9.3589  9.0345  8.5299  8.5016  8.1798
  32  0.274315  3.6032  5.0060 -1.7639 17.1342 15.3779 13.1201 12.3081 11.3748 10.9726  9.9735  9.5108  9.3405  9.0167  8.5130  8.4848  8.1636
  33  0.276437  3.6036  5.0039 -1.7565 17.0957 15.3346 13.0889 12.2784 11.3491 10.9477  9.9516  9.4901  9.3202  8.9969  8.4944  8.4662  8.1456
  34  0.279173  3.6041  5.0016 -1.7477 17.0525 15.2867 13.0537 12.2444 11.3194 10.9190  9.9263  9.4659  9.2963  8.9737  8.4723  8.4442  8.1242
  35  0.282907  3.6048  4.9988 -1.7367 17.0018 15.2309 13.0115 12.2037 11.2834 10.8840  9.8950  9.4359  9.2667  8.9448  8.4447  8.4167  8.0974
  36  0.288203  3.6055  4.9950 -1.7221 16.9388 15.1624 12.9577 12.1517 11.2369 10.8387  9.8540  9.3965  9.2277  8.9066  8.4079  8.3800  8.0616
  37  0.295944  3.6064  4.9890 -1.7009 16.8506 15.0671 12.8817 12.0778 11.1706 10.7738  9.7950  9.3395  9.1714  8.8514  8.3547  8.3270  8.0096
  38  0.308256  3.6082  4.9772 -1.6644 16.6913 14.8962 12.7452 11.9454 11.0532 10.6593  9.6915  9.2403  9.0735  8.7557  8.2625  8.2350  7.9198
  39  0.321903  3.6109  4.9614 -1.6187 16.4773 14.6692 12.5640 11.7700 10.9005 10.5109  9.5598  9.1149  8.9502  8.6357  8.1474  8.1203  7.8083
  40  0.335478  3.6143  4.9429 -1.5688 16.2414 14.4166 12.3621 11.5739 10.7294 10.3448  9.4129  8.9754  8.8128  8.5024  8.0212  7.9946  7.6869
  41  0.345858  3.6173  4.9274 -1.5278 16.0458 14.2082 12.1927 11.4089 10.5861 10.2056  9.2906  8.8595  8.6989  8.3922  7.9173  7.8911  7.5873
  42  0.354523  3.6200  4.9137 -1.4928 15.8805 14.0350 12.0490 11.2684 10.4641 10.0873  9.1862  8.7609  8.6019  8.2984  7.8286  7.8029  7.5024
