#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 3.4153E-04 1.7385E-04  -1.94   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=13.200 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.112794  3.5476  5.2745 -2.6406 20.5046 20.0169 16.5385 15.6774 14.5374 13.9466 12.5892 12.0450 11.8520 11.4744 10.7228 10.6854 10.2942
  16  0.123858  3.5559  5.2376 -2.5292 20.1526 19.4338 16.0873 15.2196 14.0852 13.5377 12.2344 11.6955 11.5035 11.1337 10.4420 10.4061 10.0264
  17  0.134196  3.5629  5.2057 -2.4350 19.8479 18.9506 15.7105 14.8400 13.7165 13.1998 11.9409 11.4080 11.2175 10.8533 10.2038 10.1693  9.7986
  18  0.143952  3.5684  5.1785 -2.3552 19.5876 18.5538 15.3984 14.5271 13.4159 12.9210 11.6976 11.1709 10.9820 10.6222 10.0022  9.9686  9.6050
  19  0.153882  3.5731  5.1543 -2.2834 19.3541 18.2104 15.1248 14.2535 13.1543 12.6757 11.4821 10.9616 10.7743 10.4186  9.8204  9.7876  9.4300
  20  0.165177  3.5775  5.1303 -2.2110 19.1146 17.8671 14.8536 13.9836 12.8979 12.4332 11.2680 10.7542 10.5688 10.2172  9.6375  9.6053  9.2533
  21  0.178293  3.5818  5.1062 -2.1363 18.8668 17.5120 14.5775 13.7103 12.6388 12.1869 11.0499 10.5433 10.3599 10.0125  9.4492  9.4178  9.0711
  22  0.193166  3.5861  5.0829 -2.0611 18.6026 17.1421 14.2989 13.4364 12.3811 11.9409 10.8316 10.3328 10.1517  9.8085  9.2598  9.2289  8.8874
  23  0.210008  3.5904  5.0599 -1.9848 18.2968 16.7394 14.0113 13.1570 12.1228 11.6933 10.6116 10.1211  9.9424  9.6037  9.0680  9.0378  8.7014
  24  0.229392  3.5946  5.0371 -1.9067 17.9087 16.2712 13.7055 12.8647 11.8612 11.4417 10.3879  9.9063  9.7304  9.3965  8.8723  8.8427  8.5114
  25  0.244866  3.5976  5.0235 -1.8527 17.6181 15.9316 13.4882 12.6584 11.6795 11.2666 10.2324  9.7575  9.5836  9.2532  8.7367  8.7077  8.3798
  26  0.254101  3.5993  5.0180 -1.8244 17.4584 15.7472 13.3713 12.5476 11.5831 11.1736 10.1503  9.6791  9.5063  9.1780  8.6656  8.6367  8.3110
  27  0.260210  3.6004  5.0157 -1.8076 17.3623 15.6369 13.3010 12.4811 11.5255 11.1181 10.1014  9.6326  9.4604  9.1333  8.6234  8.5947  8.2701
  28  0.264607  3.6012  5.0138 -1.7954 17.2985 15.5641 13.2509 12.4333 11.4837 11.0778 10.0658  9.5986  9.4269  9.1007  8.5925  8.5640  8.2404
  29  0.267748  3.6017  5.0119 -1.7860 17.2496 15.5085 13.2120 12.3961 11.4513 11.0465 10.0383  9.5724  9.4012  9.0756  8.5688  8.5403  8.2174
  30  0.270103  3.6022  5.0100 -1.7783 17.2098 15.4634 13.1803 12.3658 11.4250 11.0209 10.0158  9.5510  9.3801  9.0552  8.5495  8.5210  8.1988
  31  0.272016  3.6026  5.0081 -1.7716 17.1741 15.4229 13.1520 12.3387 11.4014 10.9983  9.9961  9.5322  9.3616  9.0373  8.5324  8.5042  8.1823
  32  0.273822  3.6031  5.0062 -1.7650 17.1389 15.3832 13.1240 12.3119 11.3782 10.9760  9.9766  9.5138  9.3435  9.0196  8.5159  8.4876  8.1663
