#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 3.0995E-03 1.5777E-03  -0.99   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=11.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  13  0.107897  3.5209  5.2708 -2.7629 20.9402 20.9668 17.1556 16.3690 15.2168 14.6987 13.3570 12.8417 12.6534 12.2246 11.0932 11.0489 10.5471
  14  0.126612  3.5250  5.2064 -2.6128 20.5378 20.4789 16.6969 15.8953 14.7349 14.2386 12.9216 12.4078 12.2199 11.7994 10.7109 10.6678 10.1756
  15  0.145850  3.5292  5.1521 -2.4799 20.1775 20.0335 16.2830 15.4683 14.3015 13.8237 12.5299 12.0175 11.8300 11.4173 10.3714 10.3295  9.8474
  16  0.163460  3.5341  5.1139 -2.3727 19.8786 19.6469 15.9309 15.1038 13.9309 13.4690 12.1976 11.6868 11.4995 11.0951 10.0948 10.0543  9.5837
  17  0.179333  3.5392  5.0865 -2.2849 19.6280 19.3122 15.6309 14.7931 13.6148 13.1663 11.9153 11.4061 11.2190 10.8225  9.8669  9.8278  9.3690
  18  0.193597  3.5435  5.0650 -2.2129 19.4209 19.0346 15.3841 14.5384 13.3563 12.9180 11.6838 11.1760 10.9891 10.5987  9.6802  9.6422  9.1934
  19  0.207047  3.5470  5.0463 -2.1510 19.2437 18.8010 15.1762 14.3250 13.1402 12.7096 11.4888 10.9822 10.7954 10.4098  9.5205  9.4833  9.0424
  20  0.221183  3.5503  5.0291 -2.0919 19.0745 18.5792 14.9794 14.1237 12.9368 12.5127 11.3043 10.7987 10.6122 10.2307  9.3683  9.3320  8.8985
  21  0.233775  3.5530  5.0148 -2.0426 18.9328 18.3940 14.8158 13.9567 12.7683 12.3492 11.1509 10.6463 10.4600 10.0818  9.2415  9.2058  8.7783
  22  0.244263  3.5552  5.0031 -2.0031 18.8197 18.2469 14.6861 13.8246 12.6352 12.2198 11.0293 10.5255 10.3394  9.9637  9.1404  9.1052  8.6825
  23  0.252237  3.5568  4.9942 -1.9738 18.7358 18.1382 14.5906 13.7275 12.5373 12.1243 10.9395 10.4363 10.2503  9.8764  9.0655  9.0306  8.6114
  24  0.258385  3.5580  4.9878 -1.9522 18.6742 18.0590 14.5211 13.6569 12.4661 12.0545 10.8736 10.3709 10.1850  9.8124  9.0103  8.9757  8.5590
  25  0.263168  3.5589  4.9830 -1.9359 18.6277 17.9991 14.4688 13.6037 12.4126 12.0020 10.8241 10.3216 10.1359  9.7643  8.9687  8.9342  8.5195
  26  0.266968  3.5596  4.9792 -1.9232 18.5915 17.9524 14.4281 13.5624 12.3709 11.9611 10.7855 10.2833 10.0976  9.7267  8.9363  8.9020  8.4888
  27  0.270007  3.5601  4.9763 -1.9131 18.5625 17.9149 14.3955 13.5293 12.3377 11.9285 10.7547 10.2527 10.0671  9.6968  8.9105  8.8763  8.4643
  28  0.272702  3.5606  4.9743 -1.9047 18.5380 17.8825 14.3678 13.5011 12.3093 11.9006 10.7285 10.2267 10.0412  9.6714  8.8890  8.8549  8.4440
  29  0.275114  3.5611  4.9722 -1.8968 18.5152 17.8525 14.3420 13.4749 12.2830 11.8748 10.7041 10.2025 10.0171  9.6478  8.8689  8.8349  8.4251
  30  0.277585  3.5616  4.9701 -1.8890 18.4924 17.8223 14.3162 13.4487 12.2567 11.8489 10.6798 10.1783  9.9929  9.6242  8.8488  8.8149  8.4061
  31  0.280306  3.5621  4.9680 -1.8805 18.4676 17.7893 14.2881 13.4202 12.2281 11.8207 10.6533 10.1521  9.9668  9.5986  8.8271  8.7933  8.3857
  32  0.283299  3.5627  4.9656 -1.8711 18.4404 17.7535 14.2575 13.3892 12.1970 11.7901 10.6244 10.1235  9.9382  9.5707  8.8032  8.7695  8.3632
  33  0.286609  3.5633  4.9626 -1.8607 18.4103 17.7143 14.2237 13.3550 12.1627 11.7563 10.5926 10.0918  9.9067  9.5398  8.7766  8.7431  8.3380
  34  0.290343  3.5640  4.9589 -1.8488 18.3763 17.6705 14.1860 13.3168 12.1243 11.7185 10.5568 10.0564  9.8713  9.5050  8.7465  8.7130  8.3093
