#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 3.0995E-03 1.5777E-03  -0.99   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=11.800 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.120495  3.5237  5.2259 -2.6589 20.6616 20.6290 16.8378 16.0406 14.8826 14.3798 13.0552 12.5410 12.3530 11.9300 10.8284 10.7849 10.2898
  15  0.139348  3.5278  5.1682 -2.5219 20.2920 20.1767 16.4153 15.6048 14.4400 13.9565 12.6551 12.1422 11.9545 11.5393 10.4789 10.4366  9.9509
  16  0.156701  3.5321  5.1263 -2.4113 19.9872 19.7892 16.0598 15.2374 14.0671 13.5994 12.3195 11.8080 11.6206 11.2130 10.1947 10.1536  9.6784
  17  0.172528  3.5370  5.0962 -2.3199 19.7284 19.4471 15.7513 14.9177 13.7415 13.2878 12.0286 11.5187 11.3315 10.9317  9.9578  9.9181  9.4543
  18  0.187016  3.5416  5.0730 -2.2435 19.5090 19.1528 15.4890 14.6465 13.4659 13.0235 11.7822 11.2738 11.0868 10.6938  9.7594  9.7210  9.2678
  19  0.200333  3.5454  5.0536 -2.1792 19.3245 18.9075 15.2708 14.4220 13.2384 12.8045 11.5777 11.0705 10.8836 10.4958  9.5932  9.5557  9.1112
  20  0.214288  3.5488  5.0356 -2.1182 19.1501 18.6787 15.0675 14.2137 13.0276 12.6007 11.3869 10.8808 10.6942 10.3108  9.4362  9.3995  8.9626
  21  0.227742  3.5518  5.0199 -2.0640 18.9946 18.4752 14.8872 14.0296 12.8417 12.4206 11.2179 10.7129 10.5265 10.1468  9.2967  9.2607  8.8305
  22  0.239450  3.5542  5.0069 -2.0193 18.8665 18.3081 14.7399 13.8793 12.6903 12.2734 11.0797 10.5756 10.3894 10.0126  9.1821  9.1466  8.7219
  23  0.248689  3.5562  4.9968 -1.9852 18.7685 18.1809 14.6278 13.7653 12.5754 12.1616 10.9746 10.4712 10.2852  9.9106  9.0946  9.0596  8.6390
  24  0.255704  3.5575  4.9894 -1.9602 18.6970 18.0886 14.5470 13.6831 12.4925 12.0805 10.8982 10.3952 10.2093  9.8362  9.0307  8.9960  8.5783
  25  0.261125  3.5586  4.9840 -1.9417 18.6442 18.0205 14.4874 13.6226 12.4315 12.0206 10.8417 10.3391 10.1534  9.7813  8.9834  8.9489  8.5334
  26  0.265393  3.5593  4.9799 -1.9275 18.6037 17.9683 14.4418 13.5763 12.3849 11.9749 10.7985 10.2962 10.1106  9.7394  8.9472  8.9128  8.4991
  27  0.268745  3.5599  4.9768 -1.9165 18.5720 17.9273 14.4062 13.5402 12.3485 11.9392 10.7648 10.2628 10.0772  9.7066  8.9190  8.8848  8.4724
  28  0.271599  3.5604  4.9747 -1.9075 18.5461 17.8930 14.3769 13.5104 12.3186 11.9098 10.7371 10.2353 10.0497  9.6798  8.8962  8.8621  8.4509
  29  0.274045  3.5609  4.9726 -1.8996 18.5230 17.8625 14.3507 13.4838 12.2919 11.8835 10.7124 10.2107 10.0252  9.6559  8.8758  8.8418  8.4316
  30  0.276426  3.5614  4.9706 -1.8919 18.5007 17.8331 14.3255 13.4582 12.2662 11.8582 10.6886 10.1871 10.0017  9.6329  8.8562  8.8223  8.4132
  31  0.278940  3.5619  4.9686 -1.8839 18.4774 17.8019 14.2990 13.4313 12.2392 11.8317 10.6637 10.1624  9.9770  9.6087  8.8359  8.8021  8.3940
  32  0.281634  3.5625  4.9663 -1.8753 18.4524 17.7689 14.2708 13.4027 12.2105 11.8035 10.6371 10.1361  9.9508  9.5830  8.8140  8.7803  8.3734
  33  0.284556  3.5630  4.9637 -1.8660 18.4253 17.7333 14.2403 13.3718 12.1795 11.7729 10.6083 10.1075  9.9223  9.5551  8.7901  8.7565  8.3508
  34  0.287789  3.5636  4.9604 -1.8556 18.3953 17.6946 14.2069 13.3380 12.1455 11.7395 10.5768 10.0762  9.8911  9.5244  8.7636  8.7301  8.3256
  35  0.291566  3.5643  4.9565 -1.8434 18.3608 17.6503 14.1686 13.2992 12.1066 11.7011 10.5405 10.0401  9.8551  9.4892  8.7327  8.6994  8.2963
  36  0.296051  3.5650  4.9514 -1.8289 18.3197 17.5985 14.1234 13.2536 12.0608 11.6559 10.4976  9.9976  9.8126  9.4474  8.6960  8.6628  8.2612
  37  0.308815  3.5673  4.9371 -1.7871 18.1989 17.4417 13.9896 13.1184 11.9255 11.5223 10.3713  9.8723  9.6876  9.3249  8.5899  8.5570  8.1604
  38  0.351443  3.5785  4.8840 -1.6328 17.7294 16.7944 13.4642 12.5894 11.4021 11.0027  9.8857  9.3928  9.2101  8.8588  8.1975  8.1666  7.7937
  39  0.369369  3.5843  4.8585 -1.5627 17.5047 16.4708 13.2133 12.3383 11.1589 10.7600  9.6609  9.1724  8.9908  8.6459  8.0191  7.9891  7.6281
  40  0.381997  3.5888  4.8393 -1.5105 17.3319 16.2176 13.0203 12.1460 10.9750 10.5763  9.4921  9.0077  8.8272  8.4876  7.8863  7.8570  7.5054
  41  0.393763  3.5935  4.8214 -1.4607 17.1622 15.9675 12.8306 11.9573 10.7964 10.3978  9.3294  8.8501  8.6707  8.3366  7.7595  7.7309  7.3886
  42  0.404960  3.5984  4.8048 -1.4125 16.9936 15.7197 12.6423 11.7702 10.6207 10.2228  9.1711  8.6977  8.5196  8.1913  7.6372  7.6092  7.2761
  43  0.414893  3.6031  4.7902 -1.3687 16.8358 15.4910 12.4661 11.5951 10.4571 10.0605  9.0261  8.5592  8.3825  8.0600  7.5258  7.4985  7.1739
  44  0.423856  3.6077  4.7773 -1.3283 16.6861 15.2811 12.2996 11.4297 10.3024  9.9084  8.8920  8.4323  8.2571  7.9405  7.4232  7.3966  7.0796
  45  0.432210  3.6121  4.7658 -1.2900 16.5414 15.0824 12.1385 11.2693 10.1531  9.7624  8.7645  8.3126  8.1390  7.8284  7.3263  7.3004  6.9907
  46  0.440138  3.6167  4.7552 -1.2534 16.4004 14.8927 11.9805 11.1118 10.0071  9.6201  8.6416  8.1982  8.0262  7.7219  7.2337  7.2084  6.9057
  47  0.448042  3.6214  4.7453 -1.2169 16.2575 14.7054 11.8195 10.9505  9.8584  9.4760  8.5182  8.0840  7.9138  7.6161  7.1412  7.1167  6.8211
  48  0.455993  3.6265  4.7360 -1.1799 16.1156 14.5285 11.6546 10.7837  9.7040  9.3270  8.3915  7.9675  7.7993  7.5089  7.0479  7.0241  6.7360
  49  0.463961  3.6319  4.7276 -1.1423 15.9691 14.3526 11.4811 10.6067  9.5418  9.1709  8.2601  7.8475  7.6816  7.3993  6.9529  6.9300  6.6499
  50  0.471771  3.6376  4.7203 -1.1047 15.8126 14.1643 11.2971 10.4191  9.3746  9.0105  8.1266  7.7266  7.5632  7.2897  6.8579  6.8358  6.5643
  51  0.479508  3.6437  4.7138 -1.0668 15.6376 13.9434 11.0960 10.2155  9.2020  8.8451  7.9902  7.6037  7.4436  7.1790  6.7620  6.7409  6.4781
  52  0.484264  3.6476  4.7100 -1.0434 15.5174 13.7801 10.9615 10.0805  9.0940  8.7413  7.9054  7.5273  7.3695  7.1104  6.7025  6.6820  6.4246
  53  0.488969  3.6515  4.7065 -1.0201 15.3864 13.5962 10.8198  9.9395  8.9858  8.6371  7.8208  7.4513  7.2961  7.0422  6.6433  6.6234  6.3713
  54  0.493625  3.6554  4.7033 -0.9969 15.2432 13.3959 10.6723  9.7942  8.8777  8.5330  7.7365  7.3756  7.2231  6.9744  6.5843  6.5649  6.3183
  55  0.498217  3.6594  4.7002 -0.9740 15.0884 13.1825 10.5215  9.6469  8.7711  8.4305  7.6537  7.3011  7.1516  6.9078  6.5261  6.5072  6.2658
  56  0.502747  3.6633  4.6972 -0.9514 14.9208 12.9545 10.3678  9.4988  8.6665  8.3296  7.5721  7.2277  7.0811  6.8420  6.4682  6.4498  6.2136
  57  0.507226  3.6673  4.6944 -0.9289 14.7382 12.7125 10.2111  9.3499  8.5637  8.2305  7.4919  7.1553  7.0119  6.7771  6.4106  6.3929  6.1618
  58  0.511633  3.6711  4.6915 -0.9069 14.5427 12.4640 10.0548  9.2034  8.4642  8.1348  7.4141  7.0849  6.9445  6.7137  6.3541  6.3368  6.1106
  59  0.515981  3.6750  4.6888 -0.8851 14.3281 12.2063  9.8961  9.0563  8.3665  8.0409  7.3377  7.0157  6.8784  6.6514  6.2983  6.2815  6.0601
  60  0.520278  3.6787  4.6859 -0.8636 14.0940 11.9459  9.7376  8.9113  8.2717  7.9500  7.2635  6.9483  6.8141  6.5907  6.2435  6.2273  6.0105
  61  0.524526  3.6824  4.6831 -0.8424 13.8242 11.6771  9.5759  8.7658  8.1788  7.8615  7.1912  6.8824  6.7514  6.5312  6.1898  6.1740  5.9617
  62  0.528718  3.6860  4.6801 -0.8215 13.5201 11.4039  9.4127  8.6212  8.0884  7.7758  7.1209  6.8184  6.6904  6.4734  6.1374  6.1221  5.9141
  63  0.532857  3.6895  4.6771 -0.8010 13.2042 11.1353  9.2512  8.4793  8.0004  7.6927  7.0526  6.7560  6.6310  6.4170  6.0862  6.0712  5.8674
  64  0.536945  3.6930  4.6739 -0.7808 12.8991 10.8824  9.0964  8.3435  7.9155  7.6127  6.9864  6.6954  6.5730  6.3620  6.0360  6.0215  5.8217
  65  0.540993  3.6963  4.6705 -0.7610 12.6152 10.6500  8.9502  8.2148  7.8338  7.5357  6.9222  6.6363  6.5164  6.3081  5.9868  5.9727  5.7768
  66  0.544989  3.6995  4.6669 -0.7414 12.3857 10.4563  8.8191  8.0976  7.7558  7.4620  6.8600  6.5788  6.4612  6.2554  5.9386  5.9249  5.7326
  67  0.548941  3.7025  4.6632 -0.7222 12.2072 10.2984  8.7022  7.9908  7.6811  7.3913  6.7996  6.5227  6.4070  6.2037  5.8912  5.8778  5.6891
  68  0.552850  3.7055  4.6593 -0.7032 12.0692 10.1693  8.5968  7.8928  7.6093  7.3233  6.7409  6.4680  6.3539  6.1531  5.8446  5.8316  5.6463
  69  0.556707  3.7085  4.6554 -0.6846 11.9442 10.0525  8.4968  7.7993  7.5397  7.2573  6.6837  6.4144  6.3019  6.1034  5.7989  5.7863  5.6043
  70  0.560518  3.7113  4.6513 -0.6662 11.8254  9.9435  8.4006  7.7091  7.4718  7.1930  6.6278  6.3620  6.2508  6.0546  5.7540  5.7417  5.5628
  71  0.564268  3.7142  4.6474 -0.6480 11.7013  9.8353  8.3053  7.6203  7.4052  7.1301  6.5731  6.3107  6.2008  6.0068  5.7100  5.6979  5.5222
  72  0.567974  3.7169  4.6433 -0.6300 11.5620  9.7221  8.2094  7.5320  7.3400  7.0686  6.5196  6.2604  6.1518  5.9599  5.6667  5.6549  5.4822
  73  0.571624  3.7196  4.6390 -0.6123 11.4003  9.5992  8.1112  7.4427  7.2758  7.0084  6.4673  6.2112  6.1041  5.9141  5.6243  5.6128  5.4429
  74  0.575222  3.7222  4.6348 -0.5949 11.2267  9.4720  8.0125  7.3539  7.2128  6.9494  6.4162  6.1632  6.0573  5.8693  5.5827  5.5715  5.4044
  75  0.578759  3.7247  4.6303 -0.5776 11.0526  9.3468  7.9159  7.2672  7.1514  6.8918  6.3663  6.1162  6.0116  5.8253  5.5419  5.5310  5.3666
  76  0.582232  3.7272  4.6260 -0.5607 10.8785  9.2233  7.8210  7.1823  7.0912  6.8356  6.3175  6.0702  5.9668  5.7823  5.5020  5.4913  5.3295
