#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 3.0995E-03 1.5777E-03  -0.99   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=14.800 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.119570  3.5235  5.2273 -2.6641 20.6753 20.6451 16.8531 16.0562 14.8984 14.3951 13.0699 12.5556 12.3676 11.9444 10.8416 10.7981 10.3026
  16  0.136488  3.5272  5.1733 -2.5380 20.3357 20.2302 16.4651 15.6561 14.4920 14.0064 12.7025 12.1894 12.0018 11.5856 10.5202 10.4777  9.9909
  17  0.151586  3.5309  5.1335 -2.4379 20.0612 19.8848 16.1469 15.3276 14.1587 13.6874 12.4022 11.8903 11.7029 11.2931 10.2633 10.2219  9.7437
  18  0.165600  3.5351  5.1036 -2.3530 19.8232 19.5743 15.8650 15.0357 13.8615 13.4030 12.1361 11.6256 11.4384 11.0355 10.0440 10.0038  9.5354
  19  0.179267  3.5394  5.0795 -2.2770 19.6061 19.2846 15.6055 14.7671 13.5883 13.1412 11.8920 11.3829 11.1958 10.7997  9.8468  9.8077  9.3496
  20  0.192711  3.5435  5.0590 -2.2087 19.4098 19.0218 15.3718 14.5260 13.3435 12.9061 11.6727 11.1649 10.9780 10.5876  9.6698  9.6318  9.1830
  21  0.205807  3.5469  5.0407 -2.1481 19.2362 18.7927 15.1680 14.3169 13.1318 12.7017 11.4816 10.9749 10.7882 10.4024  9.5134  9.4762  9.0352
  22  0.220148  3.5503  5.0233 -2.0881 19.0642 18.5675 14.9682 14.1124 12.9252 12.5017 11.2941 10.7885 10.6021 10.2205  9.3588  9.3225  8.8889
  23  0.233284  3.5531  5.0088 -2.0370 18.9176 18.3759 14.7989 13.9397 12.7509 12.3326 11.1353 10.6308 10.4445 10.0664  9.2275  9.1918  8.7646
  24  0.244254  3.5555  4.9974 -1.9965 18.8013 18.2245 14.6655 13.8038 12.6140 12.1994 11.0102 10.5065 10.3204  9.9449  9.1237  9.0885  8.6663
  25  0.252575  3.5571  4.9890 -1.9668 18.7162 18.1140 14.5688 13.7054 12.5148 12.1024 10.9190 10.4158 10.2299  9.8563  9.0478  9.0129  8.5944
  26  0.258950  3.5583  4.9832 -1.9454 18.6548 18.0346 14.4995 13.6350 12.4438 12.0329 10.8533 10.3506 10.1648  9.7926  8.9929  8.9584  8.5424
  27  0.263807  3.5592  4.9790 -1.9296 18.6097 17.9761 14.4486 13.5833 12.3917 11.9817 10.8051 10.3028 10.1171  9.7457  8.9527  8.9183  8.5043
  28  0.267613  3.5599  4.9763 -1.9178 18.5756 17.9312 14.4100 13.5439 12.3522 11.9429 10.7685 10.2664 10.0808  9.7103  8.9225  8.8882  8.4758
  29  0.270567  3.5605  4.9739 -1.9083 18.5482 17.8952 14.3790 13.5125 12.3206 11.9118 10.7392 10.2374 10.0518  9.6820  8.8984  8.8642  8.4530
