#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 5.5373E-03 2.8186E-03  -0.72   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=11.200 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  13  0.105735  3.5168  5.2731 -2.7899 21.0166 21.0633 17.2222 16.4491 15.3121 14.8471 13.5536 13.0392 12.8575 12.4010 11.1861 11.1374 10.6012
  14  0.125881  3.5187  5.2012 -2.6346 20.6141 20.6162 16.7852 16.0030 14.8613 14.4122 13.1362 12.6221 12.4412 11.9878 10.7950 10.7469 10.2150
  15  0.146888  3.5211  5.1412 -2.4980 20.2578 20.2128 16.3935 15.6020 14.4553 14.0200 12.7606 12.2472 12.0672 11.6177 10.4494 10.4020  9.8758
  16  0.166404  3.5245  5.0997 -2.3887 19.9652 19.8622 16.0603 15.2582 14.1051 13.6821 12.4399 11.9280 11.7485 11.3052 10.1686 10.1225  9.6048
  17  0.183790  3.5285  5.0708 -2.3008 19.7247 19.5602 15.7785 14.9664 13.8064 13.3941 12.1685 11.6586 11.4794 11.0430  9.9407  9.8959  9.3880
  18  0.198798  3.5319  5.0487 -2.2311 19.5329 19.3162 15.5523 14.7325 13.5671 13.1630 11.9509 11.4429 11.2638 10.8331  9.7594  9.7158  9.2162
  19  0.213353  3.5349  5.0294 -2.1693 19.3634 19.1022 15.3537 14.5279 13.3574 12.9602 11.7596 11.2531 11.0742 10.6484  9.5991  9.5565  9.0641
  20  0.227323  3.5376  5.0129 -2.1141 19.2117 18.9094 15.1760 14.3448 13.1700 12.7785 11.5882 11.0832 10.9044 10.4830  9.4562  9.4144  8.9286
  21  0.239061  3.5399  4.9997 -2.0699 19.0903 18.7552 15.0340 14.1991 13.0205 12.6332 11.4510 10.9472 10.7686 10.3506  9.3417  9.3006  8.8201
  22  0.248005  3.5416  4.9894 -2.0370 19.0009 18.6416 14.9291 14.0914 12.9098 12.5256 11.3492 10.8463 10.6677 10.2521  9.2567  9.2161  8.7396
