#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 5.5373E-03 2.8186E-03  -0.72   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=13.800 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.107087  3.5170  5.2668 -2.7774 20.9840 21.0268 17.1866 16.4127 15.2753 14.8117 13.5198 13.0053 12.8238 12.3676 11.1547 11.1060 10.5701
  15  0.126258  3.5188  5.1984 -2.6301 20.6021 20.6022 16.7717 15.9890 14.8470 14.3986 13.1233 12.6092 12.4285 11.9753 10.7835 10.7354 10.2038
  16  0.144720  3.5209  5.1439 -2.5080 20.2838 20.2423 16.4219 15.6311 14.4846 14.0486 12.7882 12.2747 12.0946 11.6449 10.4748 10.4273  9.9006
  17  0.161378  3.5236  5.1053 -2.4112 20.0264 19.9372 16.1307 15.3311 14.1795 13.7541 12.5082 11.9959 11.8163 11.3713 10.2270 10.1806  9.6606
  18  0.177229  3.5271  5.0763 -2.3277 19.7992 19.6552 15.8663 15.0574 13.8997 13.4844 12.2536 11.7430 11.5636 11.1248 10.0109  9.9658  9.4543
  19  0.191980  3.5305  5.0534 -2.2563 19.6026 19.4055 15.6346 14.8178 13.6543 13.2477 12.0309 11.5221 11.3429 10.9100  9.8253  9.7813  9.2783
  20  0.205995  3.5336  5.0337 -2.1940 19.4315 19.1890 15.4338 14.6106 13.4423 13.0428 11.8377 11.3304 11.1514 10.7234  9.6636  9.6205  9.1248
  21  0.220291  3.5364  5.0159 -2.1357 19.2715 18.9863 15.2465 14.4176 13.2446 12.8512 11.6569 11.1513 10.9724 10.5490  9.5124  9.4703  8.9815
  22  0.233466  3.5390  5.0011 -2.0853 19.1331 18.8108 15.0846 14.2513 13.0741 12.6856 11.5005 10.9962 10.8176 10.3980  9.3820  9.3406  8.8579
  23  0.244027  3.5410  4.9895 -2.0465 19.0272 18.6762 14.9607 14.1239 12.9433 12.5584 11.3803 10.8771 10.6985 10.2820  9.2818  9.2410  8.7630
  24  0.251794  3.5425  4.9811 -2.0187 18.9520 18.5803 14.8721 14.0331 12.8497 12.4673 11.2941 10.7915 10.6130 10.1986  9.2098  9.1694  8.6948
  25  0.257520  3.5435  4.9751 -1.9988 18.8985 18.5123 14.8096 13.9689 12.7835 12.4025 11.2325 10.7304 10.5519 10.1389  9.1584  9.1183  8.6462
  26  0.261949  3.5443  4.9707 -1.9838 18.8585 18.4617 14.7631 13.9212 12.7343 12.3543 11.1867 10.6850 10.5065 10.0946  9.1200  9.0802  8.6099
  27  0.265291  3.5448  4.9675 -1.9727 18.8281 18.4230 14.7280 13.8852 12.6971 12.3179 11.1521 10.6505 10.4721 10.0612  9.0913  9.0516  8.5828
