#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 2.0289E-03 1.0327E-03  -1.16   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=12.800 EEPS=266
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  14  0.111221  3.5260  5.2625 -2.7212 20.8157 20.7443 17.0108 16.2070 15.0529 14.5074 13.1478 12.6260 12.4366 12.0222 10.9736 10.9314 10.4566
  15  0.127548  3.5317  5.2080 -2.5847 20.4299 20.2108 16.5541 15.7351 14.5735 14.0561 12.7293 12.2090 12.0197 11.6154 10.6247 10.5840 10.1221
  16  0.143048  3.5369  5.1641 -2.4701 20.0964 19.7468 16.1632 15.3336 14.1688 13.6733 12.3753 11.8566 11.6676 11.2714 10.3311 10.2916  9.8414
  17  0.157111  3.5421  5.1316 -2.3766 19.8158 19.3555 15.8361 14.9982 13.8318 13.3536 12.0802 11.5633 11.3745 10.9857 10.0905 10.0523  9.6130
  18  0.170385  3.5468  5.1058 -2.2969 19.5691 19.0154 15.5545 14.7104 13.5433 13.0785 11.8264 11.3112 11.1227 10.7402  9.8848  9.8477  9.4186
  19  0.183342  3.5510  5.0838 -2.2261 19.3464 18.7127 15.3056 14.4574 13.2911 12.8368 11.6029 11.0896 10.9014 10.5242  9.7027  9.6665  9.2463
  20  0.196285  3.5546  5.0638 -2.1619 19.1427 18.4420 15.0834 14.2327 13.0683 12.6225 11.4042 10.8926 10.7048 10.3317  9.5380  9.5027  9.0897
  21  0.210172  3.5581  5.0450 -2.0997 18.9451 18.1841 14.8709 14.0185 12.8566 12.4179 11.2141 10.7042 10.5169 10.1475  9.3790  9.3444  8.9383
  22  0.223547  3.5610  5.0286 -2.0445 18.7691 17.9570 14.6834 13.8299 12.6709 12.2379 11.0466 10.5385 10.3516  9.9853  9.2381  9.2041  8.8039
  23  0.236159  3.5636  5.0144 -1.9958 18.6134 17.7587 14.5188 13.6649 12.5091 12.0808 10.9004 10.3940 10.2077  9.8442  9.1142  9.0807  8.6854
  24  0.246549  3.5656  5.0034 -1.9580 18.4954 17.6101 14.3925 13.5380 12.3846 11.9595 10.7875 10.2826 10.0966  9.7351  9.0179  8.9847  8.5933
  25  0.254550  3.5670  4.9954 -1.9304 18.4095 17.5031 14.3004 13.4455 12.2940 11.8710 10.7051 10.2013 10.0157  9.6558  8.9475  8.9146  8.5259
  26  0.260563  3.5680  4.9897 -1.9104 18.3473 17.4260 14.2343 13.3791 12.2290 11.8075 10.6458 10.1430  9.9576  9.5987  8.8968  8.8642  8.4774
  27  0.265145  3.5688  4.9858 -1.8958 18.3016 17.3694 14.1858 13.3304 12.1814 11.7608 10.6024 10.1002  9.9149  9.5569  8.8596  8.8271  8.4419
  28  0.268758  3.5694  4.9832 -1.8848 18.2669 17.3256 14.1489 13.2934 12.1452 11.7254 10.5693 10.0676  9.8824  9.5251  8.8317  8.7993  8.4153
  29  0.271612  3.5699  4.9809 -1.8760 18.2389 17.2902 14.1191 13.2634 12.1158 11.6966 10.5425 10.0412  9.8561  9.4993  8.8092  8.7768  8.3938
  30  0.274075  3.5703  4.9789 -1.8683 18.2144 17.2591 14.0930 13.2371 12.0902 11.6715 10.5191 10.0181  9.8331  9.4769  8.7895  8.7573  8.3751
  31  0.276439  3.5708  4.9773 -1.8611 18.1914 17.2293 14.0681 13.2121 12.0658 11.6475 10.4969  9.9962  9.8114  9.4556  8.7712  8.7390  8.3577
  32  0.278768  3.5712  4.9754 -1.8536 18.1677 17.1988 14.0427 13.1866 12.0408 11.6230 10.4742  9.9738  9.7890  9.4337  8.7522  8.7202  8.3398
  33  0.281236  3.5717  4.9732 -1.8458 18.1426 17.1667 14.0159 13.1596 12.0144 11.5973 10.4502  9.9501  9.7654  9.4106  8.7322  8.7002  8.3207
  34  0.283888  3.5722  4.9707 -1.8372 18.1157 17.1328 13.9873 13.1310 11.9864 11.5697 10.4245  9.9249  9.7403  9.3860  8.7105  8.6786  8.3002
  35  0.286802  3.5727  4.9677 -1.8277 18.0865 17.0961 13.9563 13.0999 11.9559 11.5397 10.3964  9.8972  9.7127  9.3589  8.6866  8.6548  8.2773
  36  0.290033  3.5732  4.9641 -1.8172 18.0548 17.0570 13.9226 13.0661 11.9227 11.5070 10.3657  9.8667  9.6824  9.3291  8.6600  8.6283  8.2518
  37  0.290753  3.5730  4.9629 -1.8155 18.0486 17.0503 13.9184 13.0627 11.9216 11.5057 10.3646  9.8653  9.6811  9.3269  8.6565  8.6245  8.2473
  38  0.299255  3.5743  4.9530 -1.7879 17.9697 16.9501 13.8319 12.9757 11.8354 11.4205 10.2839  9.7852  9.6014  9.2483  8.5869  8.5551  8.1805
  39  0.328553  3.5817  4.9163 -1.6825 17.6509 16.5141 13.4758 12.6171 11.4809 11.0688  9.9552  9.4605  9.2779  8.9322  8.3192  8.2887  7.9295
  40  0.350534  3.5874  4.8865 -1.6014 17.3743 16.1494 13.1857 12.3286 11.2068 10.7975  9.7060  9.2173  9.0363  8.6968  8.1139  8.0842  7.7358
  41  0.370212  3.5935  4.8575 -1.5238 17.0775 15.7727 12.8871 12.0337 10.9355 10.5308  9.4663  8.9864  8.8078  8.4751  7.9170  7.8883  7.5499
  42  0.382159  3.5979  4.8386 -1.4734 16.8922 15.5249 12.6918 11.8402 10.7562 10.3536  9.3070  8.8332  8.6561  8.3286  7.7892  7.7611  7.4305
  43  0.392812  3.6023  4.8219 -1.4272 16.7200 15.2930 12.5085 11.6585 10.5885 10.1881  9.1593  8.6919  8.5163  8.1939  7.6719  7.6443  7.3213
  44  0.402355  3.6066  4.8069 -1.3846 16.5583 15.0766 12.3356 11.4869 10.4308 10.0330  9.0222  8.5617  8.3878  8.0705  7.5638  7.5369  7.2207
  45  0.411034  3.6109  4.7936 -1.3448 16.4041 14.8754 12.1706 11.3229 10.2803  9.8860  8.8938  8.4408  8.2686  7.9567  7.4630  7.4367  7.1271
  46  0.419124  3.6153  4.7816 -1.3070 16.2541 14.6833 12.0096 11.1624 10.1335  9.7434  8.7707  8.3258  8.1554  7.8491  7.3673  7.3416  7.0382
  47  0.427008  3.6198  4.7705 -1.2694 16.1006 14.4890 11.8440 10.9964  9.9831  9.5980  8.6465  8.2109  8.0426  7.7423  7.2723  7.2473  6.9504
  48  0.434631  3.6246  4.7604 -1.2327 15.9469 14.2964 11.6760 10.8278  9.8315  9.4520  8.5231  8.0975  7.9316  7.6379  7.1793  7.1550  6.8649
  49  0.442318  3.6296  4.7509 -1.1953 15.7904 14.1038 11.5013 10.6517  9.6748  9.3014  8.3965  7.9820  7.8184  7.5320  7.0853  7.0618  6.7789
  50  0.449823  3.6348  4.7425 -1.1586 15.6377 13.9206 11.3233 10.4720  9.5159  9.1493  8.2693  7.8665  7.7056  7.4270  6.9927  6.9702  6.6946
  51  0.457179  3.6403  4.7350 -1.1220 15.4775 13.7297 11.1382 10.2856  9.3550  8.9955  8.1417  7.7510  7.5929  7.3226  6.9010  6.8791  6.6114
  52  0.461977  3.6440  4.7302 -1.0981 15.3612 13.5922 11.0130 10.1596  9.2490  8.8942  8.0577  7.6752  7.5192  7.2541  6.8406  6.8194  6.5567
  53  0.466711  3.6477  4.7259 -1.0744 15.2334 13.4400 10.8834 10.0294  9.1431  8.7929  7.9742  7.5998  7.4460  7.1860  6.7806  6.7598  6.5023
  54  0.471375  3.6516  4.7220 -1.0508 15.0941 13.2703 10.7467  9.8932  9.0364  8.6907  7.8905  7.5244  7.3730  7.1181  6.7207  6.7006  6.4482
  55  0.475959  3.6554  4.7184 -1.0275 14.9460 13.0843 10.6043  9.7531  8.9308  8.5895  7.8079  7.4499  7.3012  7.0512  6.6616  6.6420  6.3949
  56  0.480464  3.6593  4.7149 -1.0045 14.7877 12.8872 10.4574  9.6103  8.8259  8.4889  7.7260  7.3762  7.2302  6.9849  6.6031  6.5841  6.3421
  57  0.484899  3.6633  4.7118 -0.9817 14.6184 12.6791 10.3069  9.4654  8.7219  8.3893  7.6449  7.3032  7.1600  6.9196  6.5453  6.5268  6.2899
  58  0.489251  3.6671  4.7087 -0.9593 14.4409 12.4657 10.1568  9.3223  8.6210  8.2926  7.5662  7.2321  7.0918  6.8557  6.4884  6.4705  6.2385
  59  0.493526  3.6709  4.7058 -0.9371 14.2512 12.2427 10.0047  9.1789  8.5217  8.1976  7.4887  7.1620  7.0246  6.7927  6.4322  6.4148  6.1878
  60  0.497727  3.6747  4.7028 -0.9155 14.0563 12.0188  9.8565  9.0406  8.4268  8.1068  7.4141  7.0943  6.9597  6.7315  6.3773  6.3603  6.1379
  61  0.501859  3.6784  4.6998 -0.8941 13.8481 11.7892  9.7073  8.9027  8.3338  8.0178  7.3409  7.0277  6.8959  6.6714  6.3230  6.3066  6.0887
  62  0.505926  3.6821  4.6968 -0.8731 13.6319 11.5613  9.5606  8.7686  8.2442  7.9323  7.2703  6.9631  6.8341  6.6128  6.2700  6.2540  6.0404
  63  0.509924  3.6855  4.6937 -0.8525 13.3981 11.3303  9.4136  8.6354  8.1568  7.8491  7.2014  6.9001  6.7737  6.5556  6.2179  6.2023  5.9930
  64  0.513842  3.6890  4.6906 -0.8323 13.1482 11.1012  9.2682  8.5053  8.0724  7.7690  7.1349  6.8391  6.7152  6.5000  6.1673  6.1522  5.9470
  65  0.517683  3.6924  4.6874 -0.8125 12.8711 10.8693  9.1217  8.3760  7.9899  7.6912  7.0703  6.7797  6.6584  6.4460  6.1180  6.1034  5.9020
  66  0.521442  3.6957  4.6843 -0.7930 12.5982 10.6476  8.9803  8.2516  7.9104  7.6164  7.0078  6.7223  6.6034  6.3935  6.0702  6.0558  5.8583
  67  0.525132  3.6988  4.6810 -0.7740 12.3341 10.4375  8.8440  8.1317  7.8334  7.5440  6.9472  6.6663  6.5496  6.3424  6.0233  6.0094  5.8155
  68  0.528757  3.7019  4.6777 -0.7553 12.0885 10.2441  8.7150  8.0179  7.7591  7.4743  6.8884  6.6119  6.4973  6.2925  5.9776  5.9640  5.7736
  69  0.532320  3.7049  4.6741 -0.7369 11.8823 10.0785  8.5972  7.9126  7.6878  7.4072  6.8313  6.5589  6.4462  6.2437  5.9328  5.9196  5.7325
  70  0.535839  3.7077  4.6704 -0.7188 11.7180  9.9416  8.4912  7.8164  7.6196  7.3429  6.7761  6.5073  6.3961  6.1959  5.8888  5.8760  5.6921
