#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 9.8327E-04 5.0050E-04  -1.49   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=13.600 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.114759  3.5394  5.2587 -2.6501 20.5611 20.1512 16.6683 15.8295 14.6805 14.1089 12.7474 12.2098 12.0199 11.6292 10.7700 10.7309 10.3106
  16  0.126736  3.5472  5.2198 -2.5367 20.1957 19.5472 16.2213 15.3734 14.2250 13.6896 12.3741 11.8388 11.6491 11.2683 10.4802 10.4427 10.0376
  17  0.137879  3.5535  5.1871 -2.4422 19.8793 19.0496 15.8539 15.0030 13.8604 13.3506 12.0717 11.5393 11.3499 10.9760 10.2392 10.2030  9.8092
  18  0.148384  3.5585  5.1598 -2.3632 19.6045 18.6433 15.5546 14.7039 13.5693 13.0770 11.8261 11.2968 11.1080 10.7389 10.0383 10.0031  9.6175
  19  0.159198  3.5626  5.1353 -2.2915 19.3474 18.2821 15.2899 14.4412 13.3160 12.8366 11.6087 11.0825 10.8946 10.5292  9.8562  9.8217  9.4429
  20  0.171174  3.5665  5.1115 -2.2205 19.0901 17.9323 15.0323 14.1867 13.0722 12.6038 11.3974 10.8747 10.6878 10.3258  9.6767  9.6428  9.2700
  21  0.184424  3.5702  5.0885 -2.1504 18.8334 17.5930 14.7808 13.9390 12.8361 12.3772 11.1912 10.6723 10.4865 10.1276  9.4992  9.4660  9.0989
  22  0.198342  3.5736  5.0674 -2.0841 18.5884 17.2770 14.5445 13.7069 12.6162 12.1652 10.9980 10.4830 10.2983  9.9425  9.3315  9.2989  8.9369
  23  0.213980  3.5770  5.0471 -2.0174 18.3406 16.9649 14.3083 13.4750 12.3977 11.9540 10.8051 10.2945 10.1110  9.7582  9.1632  9.1311  8.7739
  24  0.229990  3.5800  5.0292 -1.9561 18.1123 16.6843 14.0923 13.2629 12.1984 11.7608 10.6286 10.1224  9.9401  9.5903  9.0084  8.9768  8.6240
