#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 9.8327E-04 5.0050E-04  -1.49   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=14.000 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.113072  3.5382  5.2642 -2.6667 20.6131 20.2390 16.7337 15.8968 14.7483 14.1711 12.8028 12.2649 12.0750 11.6826 10.8124 10.7731 10.3504
  16  0.124963  3.5462  5.2249 -2.5522 20.2467 19.6298 16.2822 15.4352 14.2862 13.7462 12.4245 11.8889 11.6990 11.3171 10.5198 10.4821 10.0750
  17  0.136013  3.5526  5.1918 -2.4565 19.9281 19.1246 15.9092 15.0585 13.9148 13.4014 12.1171 11.5842 11.3947 11.0199 10.2758 10.2394  9.8439
  18  0.146366  3.5576  5.1640 -2.3768 19.6528 18.7127 15.6052 14.7543 13.6181 13.1231 11.8677 11.3378 11.1488 10.7790 10.0727 10.0373  9.6504
  19  0.156852  3.5618  5.1395 -2.3054 19.3977 18.3519 15.3410 14.4918 13.3646 12.8829 11.6507 11.1238 10.9357 10.5696  9.8916  9.8569  9.4769
  20  0.168504  3.5658  5.1157 -2.2347 19.1419 18.0019 15.0836 14.2373 13.1204 12.6500 11.4395 10.9160 10.7288 10.3662  9.7125  9.6785  9.3046
  21  0.181547  3.5695  5.0925 -2.1641 18.8838 17.6590 14.8298 13.9872 12.8819 12.4213 11.2313 10.7116 10.5256 10.1661  9.5338  9.5005  9.1323
  22  0.195559  3.5730  5.0707 -2.0960 18.6329 17.3339 14.5871 13.7487 12.6557 12.2034 11.0327 10.5170 10.3321  9.9757  9.3617  9.3290  8.9660
  23  0.210761  3.5764  5.0504 -2.0297 18.3868 17.0224 14.3521 13.5180 12.4380 11.9930 10.8408 10.3293 10.1456  9.7923  9.1944  9.1622  8.8041
  24  0.227182  3.5795  5.0316 -1.9658 18.1485 16.7281 14.1265 13.2966 12.2300 11.7914 10.6566 10.1496  9.9671  9.6168  9.0330  9.0012  8.6478
  25  0.241168  3.5819  5.0175 -1.9160 17.9627 16.5064 13.9507 13.1236 12.0678 11.6341 10.5130 10.0099  9.8284  9.4808  8.9070  8.8757  8.5258
  26  0.251274  3.5836  5.0081 -1.8822 17.8355 16.3564 13.8306 13.0055 11.9575 11.5270 10.4153  9.9151  9.7343  9.3885  8.8213  8.7903  8.4430
  27  0.258430  3.5847  5.0024 -1.8599 17.7518 16.2586 13.7518 12.9280 11.8852 11.4567 10.3512  9.8529  9.6726  9.3280  8.7650  8.7342  8.3884
