#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 8.6733E-04 4.4148E-04  -1.54   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=14.800 EEPS=264
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  16  0.120990  3.5452  5.2380 -2.5832 20.3437 19.7765 16.3912 15.5433 14.3953 13.8422 12.5076 11.9700 11.7798 11.3971 10.5965 10.5586 10.1519
  17  0.131701  3.5519  5.2043 -2.4855 20.0218 19.2560 16.0060 15.1532 14.0093 13.4858 12.1910 11.6563 11.4664 11.0913 10.3473 10.3109  9.9162
  18  0.141633  3.5572  5.1759 -2.4041 19.7457 18.8318 15.6915 14.8375 13.7010 13.1983 11.9347 11.4031 11.2137 10.8439 10.1402 10.1048  9.7191
  19  0.151412  3.5616  5.1511 -2.3330 19.4953 18.4696 15.4248 14.5721 13.4443 12.9562 11.7173 11.1887 11.0002 10.6342  9.9598  9.9251  9.5464
  20  0.162217  3.5656  5.1274 -2.2634 19.2472 18.1234 15.1692 14.3187 13.2008 12.7248 11.5083 10.9833 10.7957 10.4332  9.7833  9.7493  9.3767
  21  0.174667  3.5695  5.1036 -2.1920 18.9899 17.7749 14.9104 14.0634 12.9571 12.4917 11.2972 10.7761 10.5896 10.2304  9.6026  9.5692  9.2025
  22  0.188639  3.5732  5.0805 -2.1204 18.7301 17.4308 14.6540 13.8112 12.7175 12.2616 11.0882 10.5716 10.3863 10.0304  9.4219  9.3891  9.0278
  23  0.203455  3.5767  5.0594 -2.0525 18.4792 17.1062 14.4114 13.5730 12.4925 12.0448 10.8912 10.3790 10.1952  9.8423  9.2502  9.2182  8.8618
  24  0.220669  3.5803  5.0387 -1.9824 18.2127 16.7722 14.1612 13.3282 12.2630 11.8228 10.6892 10.1822  9.9998  9.6503  9.0735  9.0419  8.6905
  25  0.236548  3.5832  5.0221 -1.9242 17.9841 16.4964 13.9526 13.1240 12.0730 11.6387 10.5216 10.0194  9.8382  9.4918  8.9266  8.8954  8.5482
  26  0.248345  3.5851  5.0114 -1.8845 17.8265 16.3099 13.8092 12.9838 11.9428 11.5125 10.4070  9.9083  9.7281  9.3839  8.8261  8.7953  8.4509
  27  0.256262  3.5863  5.0051 -1.8596 17.7279 16.1945 13.7195 12.8960 11.8614 11.4335 10.3353  9.8389  9.6591  9.3164  8.7633  8.7327  8.3901
  28  0.262020  3.5871  5.0013 -1.8428 17.6617 16.1173 13.6589 12.8366 11.8065 11.3802 10.2868  9.7919  9.6126  9.2709  8.7206  8.6902  8.3488
  29  0.266183  3.5878  4.9986 -1.8308 17.6146 16.0624 13.6156 12.7942 11.7674 11.3423 10.2524  9.7586  9.5796  9.2385  8.6905  8.6600  8.3196
  30  0.269244  3.5883  4.9965 -1.8219 17.5789 16.0207 13.5828 12.7622 11.7379 11.3136 10.2265  9.7336  9.5548  9.2144  8.6678  8.6375  8.2977
  31  0.271688  3.5887  4.9953 -1.8151 17.5501 15.9870 13.5565 12.7365 11.7146 11.2910 10.2062  9.7142  9.5355  9.1955  8.6504  8.6201  8.2810
  32  0.273706  3.5891  4.9937 -1.8087 17.5232 15.9554 13.5321 12.7127 11.6929 11.2700 10.1875  9.6962  9.5178  9.1782  8.6343  8.6041  8.2654
  33  0.275725  3.5895  4.9922 -1.8024 17.4960 15.9234 13.5075 12.6886 11.6711 11.2490 10.1687  9.6782  9.5000  9.1609  8.6184  8.5883  8.2502
  34  0.277849  3.5899  4.9905 -1.7957 17.4677 15.8905 13.4817 12.6635 11.6483 11.2268 10.1490  9.6593  9.4813  9.1426  8.6015  8.5714  8.2339
  35  0.280114  3.5903  4.9885 -1.7884 17.4378 15.8559 13.4546 12.6368 11.6240 11.2032 10.1279  9.6389  9.4611  9.1230  8.5830  8.5531  8.2162
  36  0.282576  3.5907  4.9860 -1.7806 17.4068 15.8205 13.4262 12.6090 11.5986 11.1785 10.1054  9.6173  9.4397  9.1021  8.5633  8.5334  8.1970
  37  0.285556  3.5911  4.9832 -1.7715 17.3722 15.7815 13.3943 12.5778 11.5697 11.1503 10.0797  9.5924  9.4150  9.0779  8.5405  8.5106  8.1748
  38  0.288882  3.5915  4.9795 -1.7613 17.3349 15.7403 13.3598 12.5440 11.5384 11.1196 10.0514  9.5649  9.3877  9.0510  8.5147  8.4849  8.1496
  39  0.293132  3.5920  4.9747 -1.7483 17.2873 15.6881 13.3161 12.5012 11.4986 11.0807 10.0156  9.5300  9.3531  9.0170  8.4821  8.4524  8.1177
  40  0.297684  3.5925  4.9691 -1.7340 17.2342 15.6309 13.2679 12.4539 11.4552 11.0382  9.9763  9.4919  9.3154  8.9799  8.4461  8.4165  8.0825
  41  0.303505  3.5931  4.9615 -1.7157 17.1664 15.5595 13.2070 12.3943 11.4005 10.9847  9.9270  9.4442  9.2681  8.9333  8.4004  8.3709  8.0373
  42  0.323111  3.5966  4.9359 -1.6491 16.9057 15.2668 12.9655 12.1575 11.1846 10.7742  9.7367  9.2608  9.0866  8.7558  8.2326  8.2035  7.8745
  43  0.347619  3.6032  4.9002 -1.5549 16.4990 14.8063 12.5904 11.7900 10.8570 10.4561  9.4558  8.9933  8.8227  8.4998  7.9941  7.9661  7.6456
  44  0.360358  3.6072  4.8799 -1.5033 16.2780 14.5609 12.3847 11.5880 10.6764 10.2810  9.3014  8.8470  8.6785  8.3603  7.8636  7.8363  7.5207
  45  0.370175  3.6105  4.8632 -1.4615 16.0989 14.3642 12.2167 11.4222 10.5282 10.1372  9.1752  8.7277  8.5608  8.2468  7.7577  7.7308  7.4195
  46  0.379354  3.6141  4.8477 -1.4210 15.9239 14.1732 12.0512 11.2586 10.3821  9.9957  9.0514  8.6111  8.4461  8.1365  7.6550  7.6286  7.3218
  47  0.388329  3.6179  4.8326 -1.3803 15.7470 13.9806 11.8817 11.0906 10.2324  9.8507  8.9252  8.4929  8.3300  8.0252  7.5517  7.5259  7.2239
  48  0.397184  3.6222  4.8184 -1.3393 15.5664 13.7840 11.7067 10.9164 10.0778  9.7014  8.7960  8.3724  8.2117  7.9123  7.4476  7.4224  7.1260
  49  0.405708  3.6267  4.8053 -1.2988 15.3840 13.5834 11.5276 10.7370  9.9199  9.5491  8.6654  8.2514  8.0931  7.7998  7.3447  7.3203  7.0299
  50  0.413695  3.6316  4.7938 -1.2594 15.2006 13.3785 11.3450 10.5532  9.7595  9.3949  8.5346  8.1312  7.9757  7.6892  7.2448  7.2212  6.9377
  51  0.421264  3.6367  4.7836 -1.2210 15.0160 13.1711 11.1585 10.3657  9.5985  9.2404  8.4045  8.0125  7.8598  7.5806  7.1475  7.1248  6.8485
  52  0.426226  3.6402  4.7774 -1.1954 14.8899 13.0286 11.0293 10.2362  9.4890  9.1355  8.3166  7.9326  7.7820  7.5081  7.0829  7.0607  6.7895
  53  0.431084  3.6439  4.7716 -1.1701 14.7636 12.8851 10.8973 10.1051  9.3797  9.0309  8.2292  7.8534  7.7050  7.4362  7.0192  6.9975  6.7315
  54  0.435846  3.6476  4.7663 -1.1451 14.6376 12.7402 10.7620  9.9719  9.2704  8.9266  8.1423  7.7748  7.6286  7.3654  6.9565  6.9355  6.6748
  55  0.440526  3.6513  4.7611 -1.1207 14.5095 12.5933 10.6267  9.8395  9.1639  8.8248  8.0574  7.6980  7.5541  7.2962  6.8951  6.8747  6.6192
  56  0.445137  3.6550  4.7561 -1.0967 14.3675 12.4331 10.4903  9.7060  9.0596  8.7250  7.9742  7.6227  7.4809  7.2280  6.8345  6.8146  6.5642
  57  0.449679  3.6585  4.7514 -1.0729 14.2092 12.2582 10.3540  9.5722  8.9582  8.6280  7.8933  7.5490  7.4097  7.1612  6.7747  6.7553  6.5097
  58  0.454157  3.6622  4.7469 -1.0496 14.0370 12.0723 10.2159  9.4374  8.8588  8.5326  7.8138  7.4764  7.3398  7.0953  6.7155  6.6965  6.4557
  59  0.458571  3.6659  4.7428 -1.0265 13.8525 11.8797 10.0734  9.3002  8.7596  8.4378  7.7349  7.4044  7.2704  7.0299  6.6567  6.6383  6.4023
  60  0.462892  3.6695  4.7388 -1.0038 13.6659 11.6920  9.9313  9.1661  8.6635  8.3461  7.6583  7.3345  7.2029  6.9664  6.5994  6.5814  6.3502
  61  0.467127  3.6733  4.7352 -0.9813 13.4685 11.4999  9.7858  9.0304  8.5681  8.2550  7.5824  7.2651  7.1362  6.9034  6.5426  6.5252  6.2987
  62  0.471308  3.6768  4.7315 -0.9592 13.2686 11.3119  9.6430  8.8983  8.4757  8.1672  7.5087  7.1975  7.0711  6.8419  6.4869  6.4701  6.2482
  63  0.475429  3.6805  4.7279 -0.9374 13.0631 11.1251  9.5007  8.7676  8.3850  8.0810  7.4363  7.1310  7.0070  6.7812  6.4320  6.4156  6.1982
  64  0.479464  3.6840  4.7242 -0.9159 12.8584 10.9454  9.3634  8.6418  8.2979  7.9984  7.3666  7.0666  6.9449  6.7224  6.3785  6.3626  6.1495
  65  0.483422  3.6875  4.7207 -0.8948 12.6511 10.7700  9.2289  8.5190  8.2131  7.9180  7.2984  7.0037  6.8840  6.6647  6.3260  6.3104  6.1016
  66  0.487305  3.6909  4.7169 -0.8741 12.4481 10.6023  9.0995  8.4012  8.1316  7.8411  7.2329  6.9429  6.8252  6.6087  6.2748  6.2597  6.0547
  67  0.491104  3.6942  4.7132 -0.8538 12.2459 10.4390  8.9731  8.2864  8.0526  7.7665  7.1692  6.8836  6.7678  6.5540  6.2247  6.2100  6.0089
  68  0.494803  3.6974  4.7093 -0.8340 12.0510 10.2841  8.8523  8.1772  7.9770  7.6952  7.1081  6.8267  6.7125  6.5012  6.1761  6.1618  5.9643
  69  0.498398  3.7005  4.7056 -0.8147 11.8618 10.1351  8.7353  8.0714  7.9036  7.6263  7.0489  6.7712  6.6587  6.4499  6.1289  6.1149  5.9209
  70  0.501885  3.7035  4.7015 -0.7959 11.6862  9.9972  8.6254  7.9719  7.8338  7.5607  6.9923  6.7182  6.6072  6.4005  6.0834  6.0698  5.8791
  71  0.505241  3.7064  4.6978 -0.7777 11.5155  9.8641  8.5188  7.8755  7.7660  7.4970  6.9374  6.6669  6.5572  6.3527  6.0394  6.0261  5.8385
  72  0.508455  3.7090  4.6938 -0.7602 11.3568  9.7406  8.4192  7.7856  7.7022  7.4371  6.8856  6.6181  6.5097  6.3072  5.9974  5.9844  5.7997
  73  0.511543  3.7117  4.6903 -0.7431 11.1982  9.6182  8.3206  7.6968  7.6392  7.3783  6.8349  6.5706  6.4633  6.2629  5.9566  5.9439  5.7622
  74  0.514516  3.7143  4.6863 -0.7267 11.0517  9.5050  8.2291  7.6141  7.5801  7.3229  6.7869  6.5254  6.4193  6.2207  5.9175  5.9051  5.7260
  75  0.517389  3.7168  4.6827 -0.7104 10.9030  9.3909  8.1374  7.5316  7.5215  7.2681  6.7396  6.4810  6.3759  6.1792  5.8792  5.8671  5.6907
  76  0.520172  3.7191  4.6787 -0.6948 10.7647  9.2848  8.0521  7.4548  7.4662  7.2164  6.6947  6.4386  6.3345  6.1395  5.8424  5.8305  5.6566
  77  0.522877  3.7215  4.6751 -0.6794 10.6246  9.1776  7.9665  7.3779  7.4111  7.1649  6.6502  6.3968  6.2936  6.1004  5.8061  5.7945  5.6230
