#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 8.6733E-04 4.4148E-04  -1.54   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=13.200 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.115920  3.5416  5.2561 -2.6343 20.5074 20.0500 16.5942 15.7507 14.6028 14.0326 12.6764 12.1378 11.9475 11.5603 10.7270 10.6884 10.2748
  16  0.127764  3.5494  5.2180 -2.5224 20.1444 19.4508 16.1505 15.2990 14.1530 13.6188 12.3093 11.7735 11.5834 11.2056 10.4413 10.4043 10.0053
  17  0.138824  3.5556  5.1859 -2.4292 19.8309 18.9599 15.7870 14.9331 13.7942 13.2854 12.0125 11.4799 11.2904 10.9190 10.2037 10.1680  9.7798
  18  0.149328  3.5606  5.1588 -2.3509 19.5582 18.5586 15.4910 14.6379 13.5078 13.0163 11.7713 11.2421 11.0532 10.6864 10.0051  9.9703  9.5899
  19  0.160322  3.5648  5.1343 -2.2788 19.3017 18.1980 15.2247 14.3738 13.2536 12.7751 11.5538 11.0280 10.8402 10.4770  9.8221  9.7879  9.4142
  20  0.172523  3.5687  5.1105 -2.2073 19.0449 17.8479 14.9652 14.1175 13.0086 12.5411 11.3419 10.8201 10.6334 10.2735  9.6413  9.6079  9.2399
  21  0.185933  3.5724  5.0876 -2.1370 18.7901 17.5090 14.7128 13.8690 12.7723 12.3144 11.1362 10.6186 10.4330 10.0763  9.4637  9.4308  9.0683
  22  0.199938  3.5758  5.0666 -2.0709 18.5471 17.1926 14.4765 13.6369 12.5529 12.1030 10.9441 10.4308 10.2466  9.8929  9.2967  9.2644  8.9068
  23  0.216179  3.5793  5.0459 -2.0026 18.2908 16.8684 14.2331 13.3984 12.3286 11.8864 10.7470 10.2385 10.0556  9.7053  9.1243  9.0926  8.7399
  24  0.232278  3.5823  5.0282 -1.9416 18.0527 16.5778 14.0148 13.1850 12.1296 11.6936 10.5716 10.0679  9.8863  9.5390  8.9704  8.9391  8.5907
  25  0.245158  3.5844  5.0156 -1.8968 17.8760 16.3683 13.8540 13.0276 11.9833 11.5518 10.4426  9.9427  9.7623  9.4174  8.8572  8.8264  8.4811
  26  0.253907  3.5859  5.0080 -1.8683 17.7629 16.2354 13.7510 12.9268 11.8900 11.4612 10.3603  9.8631  9.6831  9.3399  8.7850  8.7544  8.4112
  27  0.260216  3.5868  5.0033 -1.8492 17.6879 16.1478 13.6826 12.8598 11.8279 11.4010 10.3056  9.8100  9.6305  9.2883  8.7369  8.7064  8.3646
  28  0.264873  3.5876  5.0002 -1.8357 17.6351 16.0865 13.6342 12.8123 11.7840 11.3582 10.2668  9.7724  9.5932  9.2518  8.7027  8.6723  8.3315
  29  0.268297  3.5881  4.9978 -1.8258 17.5957 16.0406 13.5980 12.7769 11.7514 11.3266 10.2380  9.7447  9.5657  9.2249  8.6776  8.6473  8.3071
  30  0.270910  3.5885  4.9960 -1.8179 17.5644 16.0042 13.5693 12.7489 11.7257 11.3016 10.2155  9.7229  9.5441  9.2038  8.6579  8.6276  8.2881
  31  0.273150  3.5889  4.9947 -1.8116 17.5379 15.9730 13.5452 12.7253 11.7041 11.2807 10.1967  9.7050  9.5264  9.1866  8.6418  8.6116  8.2726
  32  0.275165  3.5893  4.9931 -1.8053 17.5112 15.9418 13.5210 12.7017 11.6826 11.2599 10.1781  9.6870  9.5087  9.1693  8.6258  8.5957  8.2572
  33  0.277364  3.5897  4.9916 -1.7987 17.4828 15.9087 13.4952 12.6765 11.6597 11.2377 10.1583  9.6681  9.4899  9.1510  8.6088  8.5788  8.2408
  34  0.279805  3.5901  4.9897 -1.7912 17.4523 15.8733 13.4673 12.6492 11.6349 11.2136 10.1367  9.6472  9.4693  9.1309  8.5901  8.5601  8.2228
  35  0.282497  3.5905  4.9873 -1.7829 17.4192 15.8355 13.4371 12.6197 11.6078 11.1872 10.1129  9.6243  9.4465  9.1087  8.5692  8.5393  8.2026
  36  0.285496  3.5909  4.9845 -1.7738 17.3842 15.7959 13.4048 12.5881 11.5787 11.1588 10.0870  9.5992  9.4217  9.0843  8.5462  8.5163  8.1802
  37  0.289229  3.5914  4.9809 -1.7628 17.3432 15.7501 13.3669 12.5509 11.5442 11.1252 10.0561  9.5693  9.3920  9.0551  8.5184  8.4886  8.1530
