#NUMBER OF AGES= 1
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.3300 8.6733E-04 4.4148E-04  -1.54   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: HST WFPC2 (Vega)                   
#----------------------------------------------------       
#AGE=11.600 EEPS=265
#EEP   M/Mo    LogTeff  LogG   LogL/Lo F218W   F255W   F300W   F336W   F439W   F450W   F555W   F606W   F622W   F675W   F791W   F814W   F850LP
  15  0.123686  3.5468  5.2321 -2.5614 20.2725 19.6587 16.3043 15.4550 14.3076 13.7615 12.4360 11.8989 11.7088 11.3280 10.5407 10.5033 10.0993
  16  0.136011  3.5541  5.1958 -2.4545 19.9169 19.0914 15.8848 15.0313 13.8901 13.3748 12.0922 11.5587 11.3690 10.9960 10.2683 10.2322  9.8412
  17  0.147638  3.5597  5.1658 -2.3663 19.6120 18.6354 15.5480 14.6947 13.5628 13.0681 11.8179 11.2880 11.0991 10.7314 10.0441 10.0091  9.6273
  18  0.159272  3.5642  5.1397 -2.2892 19.3386 18.2483 15.2625 14.4113 13.2898 12.8093 11.5848 11.0585 10.8706 10.5069  9.8485  9.8142  9.4397
  19  0.171678  3.5683  5.1153 -2.2160 19.0756 17.8885 14.9959 14.1478 13.0377 12.5689 11.3673 10.8449 10.6581 10.2978  9.6631  9.6296  9.2611
  20  0.184882  3.5720  5.0925 -2.1461 18.8222 17.5502 14.7444 13.9001 12.8020 12.3429 11.1622 10.6440 10.4584 10.1013  9.4865  9.4535  9.0905
  21  0.198418  3.5753  5.0718 -2.0812 18.5847 17.2403 14.5127 13.6724 12.5866 12.1355 10.9737 10.4598 10.2753  9.9212  9.3227  9.2903  8.9321
  22  0.213905  3.5787  5.0514 -2.0150 18.3372 16.9257 14.2765 13.4408 12.3686 11.9249 10.7821 10.2728 10.0897  9.7388  9.1553  9.1235  8.7700
  23  0.229751  3.5817  5.0332 -1.9536 18.0996 16.6335 14.0573 13.2264 12.1683 11.7311 10.6057 10.1011  9.9193  9.5713  9.0004  8.9691  8.6199
  24  0.242959  3.5840  5.0197 -1.9066 17.9146 16.4137 13.8888 13.0617 12.0151 11.5825 10.4706  9.9699  9.7891  9.4437  8.8819  8.8509  8.5050
  25  0.252277  3.5855  5.0109 -1.8754 17.7912 16.2686 13.7767 12.9519 11.9132 11.4837 10.3807  9.8828  9.7027  9.3591  8.8029  8.7722  8.4285
  26  0.258866  3.5866  5.0054 -1.8548 17.7104 16.1743 13.7030 12.8798 11.8463 11.4188 10.3217  9.8256  9.6460  9.3035  8.7509  8.7204  8.3781
