# All refereed publications based on data obtained from the HLA must carry the following footnote: 
#
#     Based on observations made with the NASA/ESA Hubble Space Telescope,
#     and obtained from the Hubble Legacy Archive, which is a collaboration
#     between the Space Telescope Science Institute (STScI/NASA), the Space
#     Telescope European Coordinating Facility (ST-ECF/ESA) and the Canadian
#     Astronomy Data Centre (CADC/NRC/CSA).
#
# One copy of each paper resulting from data obtained from the HLA should be sent to the STScI
# ---------------------------------------------------------------------------------------------------------
# Proposal ID    :      10775
# Image File Name:                                                                                 
# Target Name    :                                                                                 
# Date Observed  :                     
# Time Observed  :                     
# Instrument     : WFPC2   
# Detector       : WFPC2/WFC
# Target RA      :   287.673065
# Target DEC     :   -59.883161
# Orientation    :     -999.000
# Aperture RA    :  -999.000000
# Aperture DEC   :  -999.000000
# Aperture PA    :     -999.000
# Exposure Start :  -999.000000
# Exposure Time  :      304.000
# CCD Gain       :     -999.000
# Filter 1       : detection
# Filter 2       :         
# ---------------------------------------------------------------------------------------------------------
# Data Release Version :            (DAOphot Catalog)
# Aperture Radius      :0.30
# Nobj                 :       1586
#
#  Object      Pixel Position      ICRS Coordinates        f606w    f814w    f606w    f814w
#      ID       X          Y       RA          DEC     | MagAP2----------| TotMag----------| CI--------------| Flags-----------
      100   1194.530    218.823 287.6580322 -59.9095759   20.822   20.284   20.652   20.100    0.867    0.897        0        0 
      101   1520.846    219.437 287.6399529 -59.9095563   17.758   17.677   17.588   17.493    0.906    0.946        0        0 
      104   1237.606    223.352 287.6556456 -59.9094499   23.335   22.454   23.165   22.270    0.988    1.026        0        0 
      105   1181.305    224.397 287.6587649 -59.9094211   20.781   20.452   20.611   20.268    0.864    0.938        0        0 
      106   1314.831    224.535 287.6513671 -59.9094166   22.210   21.482   22.040   21.298    0.892    0.918        0        0 
      107   1627.225    227.520 287.6340593 -59.9093305   18.693   18.742   18.523   18.558    0.894    1.155        0        0 
      108   1562.413    230.353 287.6376502 -59.9092526   23.288   22.627   23.118   22.443    1.104    0.954        0        0 
      110   1655.124    231.918 287.6325137 -59.9092079   20.489   20.176   20.319   19.992    1.006    0.995        0        0 
      114   1102.242    235.332 287.6631454 -59.9091176   19.929   19.599   19.759   19.415    0.859    0.829        0       16 
      115   1131.677    236.276 287.6615146 -59.9090913   22.032   21.407   21.862   21.223    0.851    0.989        0        0 
      117   1289.081    237.178 287.6527939 -59.9090656   23.262   22.008   23.092   21.824    0.865    1.192        0        0 
      119   1056.923    242.876 287.6656562 -59.9089081   21.403   20.730   21.233   20.546    0.873    1.004        0        0 
      121   1137.406    244.455 287.6611972 -59.9088641   23.221   22.410   23.051   22.226    1.025    0.829        0       16 
      122   1288.098    244.108 287.6528484 -59.9088731   23.303   22.122   23.133   21.938    0.837    0.988       16        0 
      124   1376.200    246.143 287.6479673 -59.9088159   21.702   21.110   21.532   20.926    0.947    0.948        0        0 
      129   1628.053    257.021 287.6340143 -59.9085110   19.795   19.745   19.625   19.561    0.975    1.181        0        0 
      130   1674.880    257.444 287.6314199 -59.9084985   17.037   16.873   16.867   16.689    0.892    0.934        0        0 
      132   1521.253    258.104 287.6399313 -59.9084822   22.076   21.317   21.906   21.133    0.880    0.913        0        0 
      133   1487.914    259.417 287.6417783 -59.9084461   20.353   20.125   20.183   19.941    0.913    1.011        0        0 
      136   1033.080    261.436 287.6669772 -59.9083926   22.121   21.339   21.951   21.155    0.899    0.926        0        0 
      137   1456.642    260.759 287.6435109 -59.9084092   21.262   20.751   21.092   20.567    0.925    0.955        0        0 
      139    991.029    262.571 287.6693069 -59.9083610   22.401   21.469   22.231   21.285    0.755    0.904       16        0 
      140   1056.993    263.354 287.6656524 -59.9083393   19.242   18.982   19.072   18.798    0.883    0.932        0        0 
      143   1180.937    266.360 287.6587856 -59.9082555   22.080   21.286   22.080   21.286    1.854    1.727        1        1 
      144   1407.123    266.014 287.6462545 -59.9082637   18.381   18.215   18.211   18.031    0.976    0.987        0        0 
      145   1671.956    265.800 287.6315822 -59.9082665   21.098   20.630   20.928   20.446    1.165    1.123        0        0 
      147   1567.490    268.206 287.6373699 -59.9082011   22.988   22.295   22.818   22.111    0.900    1.039        0        0 
      149   1027.513    269.140 287.6672856 -59.9081786   21.766   21.095   21.596   20.911    0.852    0.863        0        0 
      150   1181.265    269.347 287.6587675 -59.9081725   21.719   20.942   21.549   20.758    0.939    1.062        0        0 
      151   1580.497    270.402 287.6366493 -59.9081399   19.274   19.106   19.104   18.922    0.933    0.958        0        0 
      152   1279.770    270.912 287.6533101 -59.9081286   23.600   22.747   23.430   22.563    0.976    1.109        0        0 
      153   1657.460    270.924 287.6323854 -59.9081244   20.848   20.695   20.678   20.511    0.925    1.129        0        0 
      155   1608.712    272.531 287.6350862 -59.9080804   22.670   22.065   22.500   21.881    0.881    0.816        0       16 
      157   1001.694    273.660 287.6687160 -59.9080530   22.253   21.452   22.083   21.268    0.824    0.911       16        0 
      161   1551.464    276.867 287.6382580 -59.9079607   20.704   20.477   20.534   20.293    0.916    1.005        0        0 
      162   1671.836    277.796 287.6315892 -59.9079332   19.312   19.093   19.142   18.909    1.043    0.992        0        0 
      165   1121.036    279.033 287.6621043 -59.9079036   23.226   22.207   23.056   22.023    0.879    0.943        0        8 
      166    933.124    279.562 287.6725149 -59.9078890   21.377   20.646   21.207   20.462    0.898    0.966        0        0 
      167    958.751    279.882 287.6710951 -59.9078801   17.365   17.190   17.195   17.006    0.886    0.955        0        0 
      168   1105.734    280.116 287.6629521 -59.9078736   20.499   20.230   20.329   20.046    0.885    0.881        0        0 
      169   1671.015    282.863 287.6316348 -59.9077925   22.363   21.978   22.363   21.978    1.599    1.351        1        1 
      170   1225.315    284.554 287.6563272 -59.9077499   19.602   19.459   19.432   19.275    0.880    1.077        0        0 
      171   1083.948    286.169 287.6641591 -59.9077055   22.444   21.720   22.274   21.536    0.863    0.847        0       16 
      172   1110.633    286.570 287.6626807 -59.9076943   22.338   21.511   22.168   21.327    0.852    0.957        0        0 
      175   1134.428    288.178 287.6613624 -59.9076496   19.905   19.570   19.735   19.386    0.801    0.891       16        0 
      176   1245.319    287.813 287.6552189 -59.9076593   22.160   21.348   22.160   21.348    1.423    1.333        1        1 
      177   1500.392    288.195 287.6410877 -59.9076466   20.830   20.442   20.660   20.258    0.890    0.996        0        0 
      181   1396.044    291.023 287.6468687 -59.9075691   22.214   21.543   22.044   21.359    0.913    0.948        0        0 
      182   1455.287    291.137 287.6435866 -59.9075654   20.127   19.984   19.957   19.800    0.916    1.070        0        0 
      183   1035.714    292.451 287.6668313 -59.9075310   16.881   16.646   16.711   16.462    0.865    0.937        0        0 
      184   1187.173    292.655 287.6584403 -59.9075251   19.387   19.167   19.217   18.983    0.874    0.900        0        0 
