# All refereed publications based on data obtained from the HLA must carry the following footnote: 
#
#     Based on observations made with the NASA/ESA Hubble Space Telescope,
#     and obtained from the Hubble Legacy Archive, which is a collaboration
#     between the Space Telescope Science Institute (STScI/NASA), the Space
#     Telescope European Coordinating Facility (ST-ECF/ESA) and the Canadian
#     Astronomy Data Centre (CADC/NRC/CSA).
#
# One copy of each paper resulting from data obtained from the HLA should be sent to the STScI
# ---------------------------------------------------------------------------------------------------------
# Proposal ID    :      10775
# Image File Name:                                                                                 
# Target Name    :                                                                                 
# Date Observed  :                     
# Time Observed  :                     
# Instrument     : WFPC2   
# Detector       : WFPC2/WFC
# Target RA      :   298.382743
# Target DEC     :    18.867315
# Orientation    :     -999.000
# Aperture RA    :  -999.000000
# Aperture DEC   :  -999.000000
# Aperture PA    :     -999.000
# Exposure Start :  -999.000000
# Exposure Time  :      168.000
# CCD Gain       :     -999.000
# Filter 1       : detection
# Filter 2       :         
# ---------------------------------------------------------------------------------------------------------
# Data Release Version :            (DAOphot Catalog)
# Aperture Radius      :0.30
# Nobj                 :        919
#
#  Object      Pixel Position      ICRS Coordinates        f606w    f814w    f606w    f814w
#      ID       X          Y       RA          DEC     | MagAP2----------| TotMag----------| CI--------------| Flags-----------
       90   1273.814    335.980 298.3839308  18.8413429   23.669   21.840   23.499   21.656    0.931    1.009        8        0 
       92   1563.285    336.516 298.3754346  18.8413573   20.822   20.388   20.652   20.204    0.779    0.883       16        0 
       93   1153.269    338.104 298.3874688  18.8414020   23.213   22.095   23.043   21.911    0.858    0.916        0        0 
       94   1390.011    339.129 298.3805203  18.8414302   21.551   20.934   21.381   20.750    0.880    0.905        0        0 
       95   1372.992    340.328 298.3810198  18.8414636   22.269   21.249   22.099   21.065    0.942    0.952        0        0 
       96   1436.939    350.172 298.3791429  18.8417369   22.672   21.838   22.502   21.654    1.067    0.955        0        0 
       99   1233.751    355.420 298.3851066  18.8418829   21.376   20.755   21.206   20.571    0.756    0.941       16        0 
      100   1609.276    356.167 298.3740847  18.8419031   23.169   21.867   22.999   21.683    1.028    0.905        0        0 
      101   1656.485    355.851 298.3726991  18.8418942   24.299   22.470   24.129   22.286    0.769    1.070       24        0 
      103   1330.235    361.071 298.3822747  18.8420398   22.164   21.324   21.994   21.140    0.792    0.955       16        0 
      106   1671.654    365.699 298.3722539  18.8421677   23.029   22.113   22.859   21.929    0.856    1.064        0        0 
      107   1134.337    367.114 298.3880245  18.8422078   23.703   21.933   23.533   21.749    1.019    0.939        8        0 
      108   1080.219    369.254 298.3896129  18.8422673   19.183   18.740   19.013   18.556    0.798    0.899       16        0 
      110   1130.327    369.314 298.3881422  18.8422689   23.705   22.479   23.535   22.295    0.707    1.118       24        0 
      111   1226.607    374.714 298.3853163  18.8424189   18.882   18.466   18.712   18.282    0.800    0.917       16        0 
      115   1075.607    377.695 298.3897482  18.8425017   18.748   18.357   18.578   18.173    0.786    0.853       16        0 
      116   1545.149    377.619 298.3759668  18.8424991   23.521   22.570   23.351   22.386    0.722    1.088       16        0 
      117   1058.960    378.970 298.3902368  18.8425372   21.477   20.854   21.307   20.670    0.900    0.983        0        0 
      119   1521.565    385.254 298.3766590  18.8427113   21.742   21.198   21.572   21.014    0.797    0.903       16        0 
      120   1456.788    385.409 298.3785603  18.8427157   22.467   20.565   22.297   20.381    0.863    0.875        0        0 
      123   1387.172    387.727 298.3806036  18.8427802   21.151   20.293   20.981   20.109    1.133    1.218        0        0 
